configuration,window_s,cell,component,point,low,high,se
calendar_3day_seed20260921,10_100,alt2_closed_experts,three_way,0.0012687366162951186,0.0004619357444485271,0.002014573410254,0.000476995054705459
calendar_3day_seed20260921,10_100,alt3_open_beginners,altitude,0.007439899518701387,0.006318882479226168,0.008501614979507731,0.0006570313288364437
calendar_3day_seed20260921,10_100,alt3_open_beginners,circuit,0.005901530327626636,0.004963379870648965,0.006825634309569023,0.0005725445201754107
calendar_3day_seed20260921,10_100,alt3_open_beginners,equipment,-0.0068656341311142954,-0.007642434711178281,-0.006084611306148941,0.0004762076168866553
calendar_3day_seed20260921,10_100,alt3_open_beginners,altitude_circuit,-0.00784307124128436,-0.008923661175081355,-0.006872176829441773,0.000623475742586649
calendar_3day_seed20260921,10_100,alt3_open_beginners,altitude_equipment,2.8143803517677313e-06,-0.0008592097838485414,0.0008344102543579089,0.0005230081947150847
calendar_3day_seed20260921,10_100,alt3_open_beginners,circuit_equipment,-0.0008326517849240878,-0.001562568972609796,-3.9514783169553163e-05,0.00046761880135979893
calendar_3day_seed20260921,10_100,alt3_open_beginners,three_way,0.0021607440753226292,0.001326500715262485,0.002945266094840182,0.0004952760934662693
calendar_3day_seed20260921,10_100,alt3_open_experts,altitude,0.007439899518701387,0.006318882479226168,0.008501614979507731,0.0006570313288364437
calendar_3day_seed20260921,10_100,alt3_open_experts,circuit,0.005901530327626636,0.004963379870648965,0.006825634309569023,0.0005725445201754107
calendar_3day_seed20260921,10_100,alt3_open_experts,equipment,0.0068656341311145175,0.006084611306148835,0.007642434711178076,0.0004762076168866529
calendar_3day_seed20260921,10_100,alt3_open_experts,altitude_circuit,-0.00784307124128436,-0.008923661175081355,-0.006872176829441773,0.000623475742586649
calendar_3day_seed20260921,10_100,alt3_open_experts,altitude_equipment,-2.814380351989776e-06,-0.00083441025435812,0.0008592097838485409,0.0005230081947150855
calendar_3day_seed20260921,10_100,alt3_open_experts,circuit_equipment,0.0008326517849238657,3.9514783169758396e-05,0.0015625689726096066,0.00046761880135979725
calendar_3day_seed20260921,10_100,alt3_open_experts,three_way,-0.0021607440753225182,-0.0029452660948402986,-0.0013265007152626139,0.0004952760934662752
calendar_3day_seed20260921,10_100,alt3_closed_beginners,altitude,0.007439899518701387,0.006318882479226168,0.008501614979507731,0.0006570313288364437
calendar_3day_seed20260921,10_100,alt3_closed_beginners,circuit,-0.005901530327626525,-0.006825634309568907,-0.004963379870648971,0.0005725445201754017
calendar_3day_seed20260921,10_100,alt3_closed_beginners,equipment,-0.0068656341311142954,-0.007642434711178281,-0.006084611306148941,0.0004762076168866553
calendar_3day_seed20260921,10_100,alt3_closed_beginners,altitude_circuit,0.00784307124128425,0.006872176829441556,0.008923661175081355,0.0006234757425866406
calendar_3day_seed20260921,10_100,alt3_closed_beginners,altitude_equipment,2.8143803517677313e-06,-0.0008592097838485414,0.0008344102543579089,0.0005230081947150847
calendar_3day_seed20260921,10_100,alt3_closed_beginners,circuit_equipment,0.0008326517849237547,3.9514783169641824e-05,0.001562568972609923,0.0004676188013598029
calendar_3day_seed20260921,10_100,alt3_closed_beginners,three_way,-0.002160744075322296,-0.0029452660948403988,-0.0013265007152624972,0.0004952760934662789
calendar_3day_seed20260921,10_100,alt3_closed_experts,altitude,0.007439899518701387,0.006318882479226168,0.008501614979507731,0.0006570313288364437
calendar_3day_seed20260921,10_100,alt3_closed_experts,circuit,-0.005901530327626525,-0.006825634309568907,-0.004963379870648971,0.0005725445201754017
calendar_3day_seed20260921,10_100,alt3_closed_experts,equipment,0.0068656341311145175,0.006084611306148835,0.007642434711178076,0.0004762076168866529
calendar_3day_seed20260921,10_100,alt3_closed_experts,altitude_circuit,0.00784307124128425,0.006872176829441556,0.008923661175081355,0.0006234757425866406
calendar_3day_seed20260921,10_100,alt3_closed_experts,altitude_equipment,-2.814380351989776e-06,-0.00083441025435812,0.0008592097838485409,0.0005230081947150855
calendar_3day_seed20260921,10_100,alt3_closed_experts,circuit_equipment,-0.0008326517849241988,-0.0015625689726099013,-3.951478316965863e-05,0.00046761880135980154
calendar_3day_seed20260921,10_100,alt3_closed_experts,three_way,0.0021607440753228513,0.0013265007152625905,0.0029452660948402817,0.0004952760934662715
calendar_3day_seed20260921,100_1000,alt0_open_beginners,altitude,0.004464751357227459,0.0015731480841570664,0.007052233449578153,0.0016749089372110127
calendar_3day_seed20260921,100_1000,alt0_open_beginners,circuit,0.02086378291087898,0.01977101318322964,0.022012724014462574,0.0006951061147170695
calendar_3day_seed20260921,100_1000,alt0_open_beginners,equipment,-0.004479963147880572,-0.005540543153328065,-0.0034850009904021655,0.000598014044636563
calendar_3day_seed20260921,100_1000,alt0_open_beginners,altitude_circuit,0.018490889488029016,0.015902817193409913,0.02147377101995742,0.0017194924292154973
calendar_3day_seed20260921,100_1000,alt0_open_beginners,altitude_equipment,0.0003566302564600443,-0.0024065796095408824,0.003183810759630917,0.0017022548554676141
calendar_3day_seed20260921,100_1000,alt0_open_beginners,circuit_equipment,-0.0012113738103690652,-0.0022418784234154777,-0.0001849880631189294,0.0006137467065177267
calendar_3day_seed20260921,100_1000,alt0_open_beginners,three_way,0.000874669148889673,-0.0021380090156217393,0.003649810392143314,0.0017203533424452705
calendar_3day_seed20260921,100_1000,alt0_open_experts,altitude,0.004464751357227459,0.0015731480841570664,0.007052233449578153,0.0016749089372110127
calendar_3day_seed20260921,100_1000,alt0_open_experts,circuit,0.02086378291087898,0.01977101318322964,0.022012724014462574,0.0006951061147170695
calendar_3day_seed20260921,100_1000,alt0_open_experts,equipment,0.00447996314788035,0.0034850009904019486,0.005540543153327853,0.0005980140446365608
calendar_3day_seed20260921,100_1000,alt0_open_experts,altitude_circuit,0.018490889488029016,0.015902817193409913,0.02147377101995742,0.0017194924292154973
