configuration,window_s,cell,flights,groups,largest_group_fraction,size_balance_index,cells_point,cells_low,cells_high,cells_se,cells_sim_low,cells_sim_high,residual_point,residual_low,residual_high,residual_se,residual_sim_low,residual_sim_high,fit_rms_dex
calendar_1day_seed20260921,100_1000,alt2_open_experts,2312,1081,0.007785467128027681,566.1241262444397,0.9079516227863991,0.9063345953896639,0.9095306318358557,0.0009661529846087738,0.9053815090008518,0.9105217365719463,-0.01167795946326089,-0.013419658141506191,-0.010056799339365236,0.0010141558074260048,-0.01430458988400988,-0.009051329042511899,0.004692364870899253
calendar_1day_seed20260921,100_1000,alt2_closed_beginners,8924,1490,0.010309278350515464,437.9263137056507,0.8820202912631173,0.8805648138807861,0.8833881825379541,0.0008872152578636177,0.8796601638285304,0.8843804186977042,0.013078201130976463,0.011645602035032222,0.014600789119672053,0.0008829167279462536,0.01079147564005036,0.015364926621902567,0.008492912493214993
calendar_1day_seed20260921,100_1000,alt2_closed_experts,5066,1386,0.008290564547966837,520.8287198636253,0.8927170954190273,0.8912296677937578,0.8941066614804538,0.0008835652997327594,0.890366677427829,0.8950675134102256,0.014815078991125441,0.01326135086170061,0.016406360955527447,0.0009476273315798114,0.012360755150119057,0.017269402832131825,0.007474138322828555
calendar_1day_seed20260921,100_1000,alt3_open_beginners,4476,1273,0.006702412868632708,539.2306615707596,0.8949653177930478,0.8933905077643222,0.8964963631809764,0.0009503881574713364,0.8924371408437968,0.8974934947422988,-0.016630569658751093,-0.018321935689028568,-0.014964455795150006,0.0010269758578658524,-0.019290403591459754,-0.01397073572604243,0.006476871384750306
calendar_1day_seed20260921,100_1000,alt3_open_experts,2039,970,0.005885237861696911,579.6069984664715,0.9010589546067049,0.8994442289049485,0.9027162978032983,0.000988721150629832,0.8984288060693851,0.9036891031440247,-0.019496859140854972,-0.02129889025439427,-0.017866276058441828,0.0010522025293287658,-0.022222029328795367,-0.016771688952914577,0.00590350068059874
calendar_1day_seed20260921,100_1000,alt3_closed_beginners,7442,1341,0.0083310937919914,484.9002241367234,0.8867376793294866,0.8852165434299594,0.8883739369563294,0.000959845062736777,0.8841843455748657,0.8892910130841074,0.016869357699445753,0.015380076614962518,0.018440692817288818,0.0009514099551712936,0.014405236986871038,0.019333478412020468,0.00838732948440433
calendar_1day_seed20260921,100_1000,alt3_closed_experts,4586,1237,0.006977758395115569,544.2062826683227,0.8980863190259617,0.8968087998202048,0.8993153556490912,0.0007554724152568249,0.8960766475764257,0.9000959904754977,0.019258071100159868,0.017709854550535104,0.02078958734934609,0.0009745393056764011,0.01673404612513945,0.021782096075180286,0.007185052049720239
calendar_1day_seed20260921,1000_10000,alt0_open_beginners,613,365,0.013050570962479609,238.58349206349206,0.9711806621855607,0.9687336858384351,0.9734533286756278,0.0014502533920895614,0.9672788998536186,0.9750824245175027,0.060399487197436486,0.04998894595215921,0.07224503606627866,0.00674667625676335,0.042881027979474226,0.07791794641539874,0.0023765787951985735
calendar_1day_seed20260921,1000_10000,alt0_open_experts,890,459,0.012359550561797753,282.69093504639545,0.9791049960226749,0.977123140078616,0.980948895582239,0.001168879778582365,0.9759602413780605,0.9822497506672893,0.034936830823092735,0.024405328542756503,0.04743383462602861,0.006910183605471123,0.016993807462556892,0.052879854183628575,0.0018406396692365334
calendar_1day_seed20260921,1000_10000,alt0_closed_beginners,90,79,0.03333333333333333,69.82758620689656,0.6086931430414624,0.5653534781711177,0.6487899618554742,0.025485621303755385,0.5401266168388531,0.6772596692440717,-0.052857438429852355,-0.08345324408740742,-0.023893886898623814,0.017677695070508193,-0.09875944534026532,-0.006955431519439399,0.08493126722928865
calendar_1day_seed20260921,1000_10000,alt0_closed_experts,65,63,0.03076923076923077,61.231884057971016,0.652458692092096,0.6087087112191258,0.6893450122596149,0.024614114575917202,0.586236867954147,0.7186805162300449,-0.042478879590676755,-0.07168316442801904,-0.015087875165522936,0.017427777381566187,-0.0877319487612376,0.0027741895798840885,0.06949414220285553
calendar_1day_seed20260921,1000_10000,alt1_open_beginners,932,619,0.0075107296137339056,443.17551020408166,0.9485012365830385,0.9447244080204591,0.952084123052964,0.0022997375187777816,0.9423140218017703,0.9546884513643068,0.06783842150494335,0.06021302930352433,0.07515659880407462,0.004628148019220524,0.05582094515899757,0.07985589785088913,0.0020982153404340027
