group,flights,clusters,min_resampled_flights,max_resampled_flights,largest_cluster_fraction,H,H_low,H_high,bootstrap_vs_linearized_se_min,bootstrap_vs_linearized_se_max,full_band_width_pct_at_10,band_log10_width_at_10,full_band_width_pct_at_100,band_log10_width_at_100,full_band_width_pct_at_1000,band_log10_width_at_1000,full_band_width_pct_at_10000,band_log10_width_at_10000
open_2,7412,5255,7016,7776,0.002698327037236913,0.8934705307302678,0.8921196696098145,0.8948800031348919,0.9678750725684298,0.9915390865784204,1.1311923955062655,0.00491333549206115,1.6565334056480416,0.007195162709686262,2.446093065517577,0.010620362316891088,5.485582598099401,0.023806319362085996
closed_2,14649,7954,13898,15592,0.0023892415864564132,0.845776724049723,0.8445893445364852,0.8471837619033284,0.9798255237134409,0.9995065314993872,0.7045985056997747,0.0030596760938428366,1.1136890546602116,0.004835807722018451,1.7176652129774264,0.007456783944757525,5.602408494041184,0.024279076532351843
alt3,19424,10845,18691,20365,0.002110790774299835,0.8750917993130569,0.8741913509435218,0.8759660033762331,0.9468993729453549,0.9678727778951892,0.653295764900243,0.002837208539346925,0.9572304714262194,0.0041570924548211385,1.405318620597449,0.00610210931059298,3.6291517501235355,0.015763333068944247
open_3,6802,4794,6464,7301,0.0023522493384298734,0.8891615767488436,0.8878580035778548,0.8903873060463121,0.9700467465142758,1.0097469850206087,0.9862837232435424,0.00428384484997231,1.4850672380794274,0.006449850376262471,2.2665241115692645,0.00984151645768477,4.760010455079468,0.02069376169993528
closed_3,12581,7406,11975,13191,0.0028614577537556633,0.8664200885552836,0.8653620666448435,0.8674937882332545,0.952267283332426,0.9610815340821958,0.8135677903493309,0.003533354068500804,1.1721490220307604,0.005089594013696489,1.6973575259235307,0.007367599183301628,4.668020286582876,0.020255486172670513
mountains,41521,22401,39899,42920,0.0011319573228005106,0.8705558282227126,0.8698767299519949,0.8712934820429197,0.9596907302517352,0.9830394508858852,0.46505904691785865,0.0020197265451073507,0.6677683021191462,0.002899784406677589,1.0331719849596386,0.00448590208873932,2.8970968021530417,0.01257826528049835
lowlands,4752,3480,4449,5112,0.003367003367003367,0.9379143176166241,0.9363566576270447,0.93946747021741,1.0024696815256422,1.0109751841026582,2.3762994684552723,0.010322457243439357,3.3534113031927277,0.014565588905324047,4.606607783030669,0.020015799859916143,6.626391985839531,0.028777896244764078
beginners,27609,16454,26528,28668,0.0012677025607591727,0.8698786732345221,0.8690180904094645,0.8708368145335187,0.9422554237246334,0.9767084879792352,0.4733214323330184,0.002055600502335455,0.7262758217127984,0.0031535989309546472,1.1894870164247608,0.005164482349910394,3.720619585230346,0.01614659965593788
beginners_mountains,25691,14960,24639,26805,0.0013623447900042818,0.8624103546702498,0.8615208398984993,0.8632583776460137,0.9576133117238796,0.9898892646758495,0.4559689125397788,0.0019802620324202874,0.727822333757179,0.00316057019345652,1.1844017318515538,0.005142469264426111,3.4833928481066954,0.015130975654025663
beginners_lowlands,1918,1585,1768,2078,0.004171011470281543,0.9281761575309166,0.9262493836790076,0.9300496708811317,1.0023947845344094,1.0126815695443954,2.5480002546139864,0.011067257790425427,3.5053910506801245,0.015226478766292106,5.027899796829077,0.02184458914504847,7.688262979802453,0.03340861778401321
beginners_alt0,703,582,597,813,0.011379800853485065,0.9396226270351107,0.9374268718957008,0.9417880570017703,0.9954098279166097,1.00550912026727,3.481407165700021,0.01511709901524249,5.150384834440411,0.022369413205656077,6.926878000791494,0.030109976005748752,9.552830088517297,0.04148049874891771
beginners_alt1,1215,1059,1098,1341,0.00411522633744856,0.9201659745549249,0.9174738907927368,0.9226375181310685,0.9773816543132857,0.9931359312269343,2.9872893155661457,0.012979929813682563,4.1175823065727455,0.017893252306700674,6.110754166264826,0.02655505081727665,10.215263069371842,0.04450227718063093
beginners_alt2,13757,7887,13052,14686,0.002544159337064767,0.8568831605745167,0.8555704115749194,0.8581366633487174,0.9889387684011934,1.0259144952648962,0.6716193868674752,0.00291673535565995,1.046231261556217,0.004543939755100679,1.6900436208360696,0.007339633730891769,5.476663983214669,0.023820013924133424
beginners_alt3,11934,7271,11331,12554,0.002178649237472767,0.8679627559631672,0.866834256416612,0.8690504524061354,0.952154445901052,0.97850402094161,0.6284772656541314,0.002729401227540686,0.9775843301000501,0.004245230883439196,1.564065916177341,0.006790459568139837,4.4065034123424125,0.0191556277364019
experts,16497,11848,15996,17121,0.0012729587197672304,0.894549937501899,0.8934960547995955,0.8956468365975033,0.9954225583258621,1.014538489127265,0.8586741223658559,0.0037286072915815307,1.1233061546426093,0.0048776458511063875,1.636849964555997,0.0071063460402503945,4.6360374606917345,0.020123714658624944
experts_mountains,14038,9953,13544,14585,0.0014959395925345492,0.8806300089723648,0.8797971687399602,0.8816058184532974,0.9565692007375106,0.9953145799652654,0.7283185832490677,0.003162520733602064,0.9676926054377316,0.004201799958315759,1.3698564855237492,0.005946913592765238,3.974757666510391,0.017230505881550607
experts_lowlands,2459,1949,2251,2645,0.004473363155754371,0.9416163959274049,0.9397432592201276,0.9433599331778169,1.0144194914161277,1.0183874678999867,2.982005908021308,0.012951957013372404,4.047561195623187,0.017579341378807845,5.64150272443421,0.02451714632718528,7.890723089246579,0.03430800245204437
experts_alt0,955,725,825,1088,0.009424083769633508,0.9527392732808454,0.9510947768294914,0.9542859256228592,0.9934350343525131,1.0105354636836508,3.876341498999011,0.016835735482926557,5.453596754317892,0.02369238252941533,6.840000078103702,0.029717566225311257,8.377120407875667,0.0364437020359673
experts_alt1,1504,1281,1365,1649,0.005319148936170213,0.932693321140079,0.9300860851521454,0.9353082753323906,0.9971989349552325,1.0067483987732142,3.6259877916548606,0.01574118844544509,5.052272529479827,0.021916844389766103,7.127850476915823,0.0309065664055637,10.84947050126154,0.04706553660372315
experts_alt2,7390,5230,7000,7746,0.002841677943166441,0.8775395582142614,0.8762290842280757,0.8789819470512368,0.9689228556022272,0.9959382116173923,0.9591934139432876,0.004165463735926943,1.313983835908349,0.0057049845264272704,1.8880718614419472,0.008197374961802503,5.908800271000688,0.025644453955393623
