configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
calendar_1day_all_sites,20260922,alt0_alt1,0.021058841609085444,0.018608412575048527,0.023496316841873744,0.0014646235985257237,1.1031718444746335,False,False
calendar_1day_all_sites,20260922,equipment_interaction_0_1,0.0005892996605817435,-0.0037075904842527926,0.005034710073298488,0.002667192230605545,1.0762124586390136,True,True
calendar_1day_all_sites,20260922,alt0_alt2,0.0835440075579501,0.08131949892067365,0.08583290643702021,0.001349788252969579,1.2923491116047263,False,False
calendar_1day_all_sites,20260922,equipment_interaction_0_2,-0.007539751394009309,-0.010286982812912815,-0.0045479652835119745,0.0017806785935299844,1.048055009630037,False,False
calendar_1day_all_sites,20260922,alt0_alt3,0.07448195415740744,0.072282415659298,0.07674328606773466,0.001395223942453387,1.3849445096777142,False,False
calendar_1day_all_sites,20260922,equipment_interaction_0_3,-0.002628785998886496,-0.005459945041688402,0.00012384882482923123,0.0017062258947471646,1.054622937428145,True,True
calendar_1day_all_sites,20260922,equipment_alt1,0.012527346585153976,0.008844180709610383,0.01621826212249482,0.002280186079439968,1.0662284639067552,False,False
calendar_1day_all_sites,20260922,alt1_alt2,0.06248516594886466,0.059621022315919085,0.06522587397098806,0.001681091821653704,1.205925487851495,False,False
calendar_1day_all_sites,20260922,equipment_interaction_1_2,-0.008129051054591052,-0.012115329231135225,-0.004050988650007981,0.0024321859414968773,1.0293209203702747,False,False
calendar_1day_all_sites,20260922,alt1_alt3,0.053423112548321994,0.05059947021812494,0.056255701109701746,0.0017219034984396865,1.2595429285824735,False,False
calendar_1day_all_sites,20260922,equipment_interaction_1_3,-0.0032180856594682394,-0.007151216936615207,0.0009927345829511649,0.0025264778107702618,1.0805482410383433,True,True
calendar_1day_all_sites,20260922,equipment_alt2,0.020656397639745028,0.01901279480478345,0.022348136039810562,0.0010257756802471653,1.0564962831860536,False,False
calendar_1day_all_sites,20260922,alt2_alt3,-0.009062053400542669,-0.010775258830993251,-0.007372814851284682,0.0010611409360605326,1.2645085117931056,False,False
calendar_1day_all_sites,20260922,equipment_interaction_2_3,0.004910965395122813,0.0028630299291249493,0.007184620153642129,0.0013031722339717701,1.0135096945419948,False,False
