configuration,seed,group,archive_groups,contributing_groups,H,H_low,H_high,H_se_ratio,H_interval_width_ratio,MSD_se_ratio_at_100,full_band_width_pct_at_100,MSD_se_ratio_at_1000,full_band_width_pct_at_1000,MSD_se_ratio_at_10000,full_band_width_pct_at_10000
calendar_1day_all_sites,20260921,pyrenees,6086,702,0.8332766107311821,0.8291530137698719,0.8375101031454846,1.102101059142716,1.033316992491435,1.2481874437171314,3.6937451802654495,1.2427440872871538,5.910442287414157,1.0875464585682688,17.319847846291374
calendar_1day_all_sites,20260921,channel_coast,6086,393,0.953084655928413,0.9502580079583651,0.955679918720127,1.249919423729158,1.2167593641452534,1.2327819449867228,9.872009051633635,1.236789122133754,12.638573570770523,1.2368946187120216,14.64316386644107
calendar_1day_all_sites,20260921,champagne_lorraine,6086,331,0.9550979395870857,0.952882550524572,0.9572197563777106,1.2416449056123267,1.259664882906857,1.222370168071754,7.100914264604789,1.2340092608097548,8.909213844554674,1.2359480580547682,10.98730454928494
calendar_1day_all_sites,20260922,all,6086,3642,0.8822765078884933,0.8810442850870976,0.8834732054217426,1.444576302471803,1.4306696388313276,1.631252770821532,1.226423898889887,1.6368213405787129,1.92258438433841,1.4298005012864163,5.0263581863833044
calendar_1day_all_sites,20260922,open,6086,2878,0.9098750335173964,0.9083966919858566,0.9113081287167166,1.3908137513461691,1.3748252680739712,1.3706394536956272,1.906184191651066,1.3800662300085635,2.9038954341758396,1.3888140483734837,5.799620625993936
calendar_1day_all_sites,20260922,closed,6086,2746,0.8555731734231193,0.8539212897962293,0.8570772624629578,1.939936322745506,1.857650505418201,1.890380083300406,1.4853250464413752,2.0021174445605077,2.4206901157832075,1.9394590255593278,6.759370798834159
calendar_1day_all_sites,20260922,alt0,6086,777,0.9495737534704647,0.9478626748857827,0.9513125647105057,1.238380554376694,1.2430004100635499,1.2272363199247764,5.449163941260802,1.2363669258082284,7.0338376980216655,1.233276334807734,8.762855949419857
calendar_1day_all_sites,20260922,open_0,6086,698,0.9534469183293819,0.9519900343938271,0.95485610908399,1.2369369037508282,1.2231142661063417,1.2234628887465375,5.377769341403693,1.2327173276384455,6.766100333779835,1.2313589705384067,7.9012321159799574
calendar_1day_all_sites,20260922,closed_0,6086,138,0.825113232679013,0.8152378734002235,0.8344010918199479,1.0874660652917612,1.0843805427628765,1.0673635969340507,9.584733167214859,1.0776326264704637,15.431256216020376,1.0953519951301367,41.29603414748178
calendar_1day_all_sites,20260922,alt1,6086,1464,0.9285149118613792,0.9260055384759025,0.9309975890425659,1.1940745602249296,1.2459654871062324,1.1895032136642698,4.530690127693534,1.2008357640550562,6.478038487562264,1.193853714449832,10.167966913480408
calendar_1day_all_sites,20260922,open_1,6086,1098,0.9443164714744288,0.9425122155837352,0.9460084304089429,1.1486444355731928,1.1779325759704993,1.1527831816068796,4.947785570248638,1.1606629822526338,6.469218927249572,1.153474797139869,8.518667388191224
calendar_1day_all_sites,20260922,closed_1,6086,614,0.8155142025621973,0.8121241987237039,0.8191573516415024,1.066534404918961,1.1214124158600223,1.1128123565771364,3.7381122342980477,1.0936065262224939,5.529837871200174,1.0996689267620758,15.583056675789273
calendar_1day_all_sites,20260922,alt2,6086,2469,0.8660297459125146,0.8645422219779508,0.8674150212826893,1.3834551774374002,1.343624301793578,1.5890857576595252,1.5549783564194795,1.628665606054398,2.4191125381441365,1.3397817866705375,5.9627567375967345
calendar_1day_all_sites,20260922,open_2,6086,1728,0.8934705307302683,0.8917153139207162,0.8951009950810586,1.2483205222082936,1.2265478535774665,1.29039350449742,2.025880582460899,1.2911179956225585,2.9835055114685045,1.2569379008562842,6.669486296189119
calendar_1day_all_sites,20260922,closed_2,6086,1993,0.8457767240497229,0.8435095334397085,0.8478458123968963,1.6700138653139092,1.6713883481531224,1.6121415721983712,1.7501437836193134,1.6926229979674685,2.872567745493241,1.6365478412083372,8.821285858680419
calendar_1day_all_sites,20260922,alt3,6086,2242,0.8750917993130573,0.8736580578176436,0.876445112454261,1.6277646081478376,1.570479145800573,1.7285368422448573,1.6247669143854115,1.7903377385838537,2.4828035084857896,1.5739864405346766,5.690939063479503
calendar_1day_all_sites,20260922,open_3,6086,1625,0.8891615767488434,0.8873933766126021,0.8908667003280369,1.3981662320679582,1.3732338297810427,1.3076022755549344,1.9395270411090333,1.3664023100955363,3.1264888433927727,1.3751278731326813,6.70765128105542
calendar_1day_all_sites,20260922,closed_3,6086,1770,0.8664200885552842,0.8646190262207515,0.8682719842780166,1.737037000227263,1.7136187376082146,1.6862597668044068,1.9528333167792797,1.7686375786774227,2.9753052382750513,1.7234821050243532,7.640239387926936
calendar_1day_all_sites,20260922,mountains,6086,3142,0.8705558282227132,0.8693363264891351,0.8717004794780463,1.6677218752004992,1.6687132519909431,1.8950413388913063,1.3062340232337577,1.9791022579173694,2.0102860041577153,1.607978752992916,4.634607986663508
calendar_1day_all_sites,20260922,lowlands,6086,1779,0.9379143176166242,0.9360015473846771,0.9397444102740194,1.2751811476159958,1.2031785202793517,1.276062418635231,4.200278131000578,1.287100212454815,5.672679198077059,1.2731782807455347,8.243377830582112
calendar_1day_all_sites,20260922,beginners,6086,2730,0.8698786732345224,0.868507696746056,0.8711713057963145,1.4571062985278511,1.4645481494575963,1.9258355016022677,1.442349152274111,1.8948682806896586,2.213279303993523,1.4296844407744667,5.3418654440152284
calendar_1day_all_sites,20260922,beginners_mountains,6086,2460,0.8624103546702507,0.8610415006295324,0.8638250857893751,1.6062251636090636,1.6020285969758286,2.017053144974757,1.4976683721422885,2.0226492827416194,2.3523721203742305,1.5509097111028538,5.500808901911616
calendar_1day_all_sites,20260922,beginners_lowlands,6086,999,0.9281761575309166,0.9258714417326134,0.9303352093078405,1.1881235125301397,1.174586902993069,1.1518138420063053,3.9239189145026243,1.1610588560038069,5.666046275250463,1.1828962976044706,8.81056081520874
