discipline,circuit_type,altitude_band,control,control_index,h_eff,slope,intercept_log_m2,h_eff_bootstrap_se,n_flights_min,n_clusters_min,n_lags,status,resamples,n_finite_resamples,requested_low_s,requested_high_s,actual_low_s,actual_high_s,ci95_low,ci95_high
paragliders,closed,Hills,fixed long segments,1,0.9252227067134734,1.8504454134269468,4.768911739294171,0.002865859485733316,97,92,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9195623550634618,0.930933318340691
paragliders,closed,Hills,fixed long segments,1,0.8859127654173347,1.7718255308346693,5.17445632622719,0.0032306209641494933,97,92,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8796368977754475,0.8922658231507645
paragliders,closed,Hills,fixed long segments,1,0.7299199239068751,1.4598398478137502,7.4640454510653225,0.009041763132749993,97,92,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.7119525601296474,0.7469763480375982
paragliders,closed,Hills,fixed long segments,1,0.8720081598683315,1.744016319736663,5.208303423671836,0.003091549000259511,97,92,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8659893238452554,0.8780873142094492
paragliders,closed,Low mountains,available segments,0,0.9033803758859452,1.8067607517718904,4.741738239990816,0.00028916235072518146,50263,27670,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9028116754522677,0.9039231686329381
paragliders,closed,Low mountains,available segments,0,0.8564728826224562,1.7129457652449125,5.232904038776171,0.00048674248412409896,50029,27561,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8555178529885537,0.8574405228900748
paragliders,closed,Low mountains,available segments,0,0.863225321320644,1.726450642641288,4.955313387830978,0.002775520473380522,3887,2241,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.8577364747105564,0.868830562078335
paragliders,closed,Low mountains,available segments,0,0.8587629425429871,1.7175258850859743,5.09171306813402,0.0006654584714153943,3887,2241,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8574999147999246,0.860085636948554
paragliders,closed,Low mountains,fixed long segments,1,0.936044277956471,1.872088555912942,4.764232142383532,0.0005424019880825197,3887,2241,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9349848405114598,0.9371014632373104
paragliders,closed,Low mountains,fixed long segments,1,0.9032933563976705,1.806586712795341,5.104700265952912,0.0005850007900104189,3887,2241,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.9021494087216485,0.9044167600109817
paragliders,closed,Low mountains,fixed long segments,1,0.7742029079472749,1.5484058158945497,6.977605312626885,0.001904277289422391,3887,2241,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.7704760630426501,0.7779041161371095
paragliders,closed,Low mountains,fixed long segments,1,0.8900394572525928,1.7800789145051856,5.14429040671758,0.0007051272045701323,3887,2241,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.888653712253954,0.8914050443961857
paragliders,closed,High mountains,available segments,0,0.9092303820111424,1.8184607640222847,4.7980371480623125,0.000359458482044218,30123,17493,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9085233249187803,0.9099239374132747
paragliders,closed,High mountains,available segments,0,0.8633591696255225,1.726718339251045,5.282236974280201,0.0005496530492922469,29984,17423,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8623337334324439,0.8644309118837538
paragliders,closed,High mountains,available segments,0,0.8972404985627129,1.7944809971254259,4.662025566879478,0.0021917014704550424,5770,3612,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.8929674150684451,0.901580598414091
paragliders,closed,High mountains,available segments,0,0.8758491090876982,1.7516982181753964,5.056301573436546,0.0006068480606439853,5770,3612,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8746981559302621,0.8770314521935894
paragliders,closed,High mountains,fixed long segments,1,0.938989168362288,1.877978336724576,4.815537527374088,0.0003611910658283223,5770,3612,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9382927743057101,0.9397023936242368
