discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,Low mountains,available segments,1695.0,77413638.26413393,26826,18124,76529270.38630496,78280790.53397815
paragliders,open,Low mountains,available segments,1911.0,94773224.34457247,26088,17673,93644632.42953108,95873812.1596831
paragliders,open,Low mountains,available segments,2155.0,116485046.86596723,25055,16994,115071635.98190282,117914245.88587186
paragliders,open,Low mountains,available segments,2429.0,143213561.0307928,23786,16189,141318781.7650662,145072211.62750152
paragliders,open,Low mountains,available segments,2739.0,177409513.12160674,22282,15256,174912275.01606882,179832965.4729753
paragliders,open,Low mountains,available segments,3088.0,221345570.39495048,20485,14068,218043649.29527977,224512504.88223028
paragliders,open,Low mountains,available segments,3481.0,276542190.72012734,18526,12783,272261858.77763885,280893183.588736
paragliders,open,Low mountains,available segments,3925.0,345651281.71950626,16384,11353,339912739.17819494,351461434.41974825
paragliders,open,Low mountains,available segments,4425.0,436027759.28850365,14062,9764,427738494.0407253,443959425.3897709
paragliders,open,Low mountains,available segments,4989.0,554385444.2247622,11634,8155,542656913.5347719,565790626.6877455
paragliders,open,Low mountains,available segments,5624.0,708605085.1394268,9393,6644,691982801.5841042,725395755.6116117
paragliders,open,Low mountains,available segments,6341.0,912842468.8187476,7192,5119,888841449.8126609,936849615.6344295
paragliders,open,Low mountains,available segments,7149.0,1185260099.013518,5300,3820,1150257192.2833488,1220256712.5923119
paragliders,open,Low mountains,available segments,8059.0,1538271617.4087074,3714,2704,1485137320.8337564,1590188767.5828102
paragliders,open,Low mountains,available segments,9086.0,2029101943.578257,2364,1756,1944807615.1545327,2114833114.1460009
paragliders,open,Low mountains,available segments,10000.0,2519585300.488491,1564,1192,2392481142.258406,2652820057.4031835
paragliders,open,Low mountains,fixed long segments,10.0,9234.585615621503,1564,1192,9097.391168215516,9374.818686987293
paragliders,open,Low mountains,fixed long segments,11.0,11198.457997509891,1564,1192,11027.930893189468,11376.353132289758
paragliders,open,Low mountains,fixed long segments,12.0,12593.838210630294,1564,1192,12393.56872282678,12796.024321870305
paragliders,open,Low mountains,fixed long segments,14.0,17334.76358664432,1564,1192,17062.083864609896,17594.860814495863
paragliders,open,Low mountains,fixed long segments,16.0,21769.013882297993,1564,1192,21427.66420648985,22121.851242991732
paragliders,open,Low mountains,fixed long segments,18.0,27477.67772376019,1564,1192,27058.93062842234,27902.328450399527
paragliders,open,Low mountains,fixed long segments,20.0,32705.99409816576,1564,1192,32209.686258319398,33215.94049569852
paragliders,open,Low mountains,fixed long segments,23.0,43154.21090253357,1564,1192,42463.38096197182,43835.064800821005
paragliders,open,Low mountains,fixed long segments,25.0,48252.325004245926,1564,1192,47434.88978010577,49039.16740999719
paragliders,open,Low mountains,fixed long segments,29.0,65634.64746718151,1564,1192,64573.1537388119,66705.81983985406
paragliders,open,Low mountains,fixed long segments,32.0,77586.20457610693,1564,1192,76297.76053873384,78883.26427708908
paragliders,open,Low mountains,fixed long segments,37.0,102073.54021639227,1564,1192,100359.91776395736,103864.36489216879
paragliders,open,Low mountains,fixed long segments,41.0,124366.16130514706,1564,1192,122249.7923056872,126490.56340104398
paragliders,open,Low mountains,fixed long segments,46.0,156192.4591891784,1564,1192,153516.33123541158,158912.08590512347
paragliders,open,Low mountains,fixed long segments,52.0,194353.19980818414,1564,1192,190926.46371053,197778.17662090604
paragliders,open,Low mountains,fixed long segments,59.0,251755.42351342711,1564,1192,247354.12753844418,256168.10467284516
paragliders,open,Low mountains,fixed long segments,67.0,316973.73137288203,1564,1192,311322.1995136505,322746.1171734729
paragliders,open,Low mountains,fixed long segments,75.0,395253.46273577365,1564,1192,388111.84158687154,402493.414546951
paragliders,open,Low mountains,fixed long segments,85.0,494326.4067994725,1564,1192,485271.6074798309,503371.210575041
paragliders,open,Low mountains,fixed long segments,95.0,617440.1427030051,1564,1192,606123.5390501982,628807.8221455388
paragliders,open,Low mountains,fixed long segments,107.0,768049.3257472826,1564,1192,753768.9163374548,782539.1589922638
paragliders,open,Low mountains,fixed long segments,121.0,962245.6726542519,1564,1192,943963.3808299521,980672.428288919
paragliders,open,Low mountains,fixed long segments,137.0,1216808.7353940217,1564,1192,1193526.6580712898,1240241.5606001462
paragliders,open,Low mountains,fixed long segments,154.0,1513971.6451007032,1564,1192,1484877.3598727991,1543659.0242685957
paragliders,open,Low mountains,fixed long segments,174.0,1903143.5009390984,1564,1192,1866343.9403150545,1940356.6340193287
paragliders,open,Low mountains,fixed long segments,196.0,2371195.238650895,1564,1192,2324096.7030730317,2418669.2483457685
paragliders,open,Low mountains,fixed long segments,221.0,2955512.392942775,1564,1192,2896049.862221563,3015326.339394191
paragliders,open,Low mountains,fixed long segments,249.0,3685348.632512788,1564,1192,3609767.814792531,3761142.4324104832
paragliders,open,Low mountains,fixed long segments,281.0,4591135.41332321,1564,1192,4495656.783684083,4686948.495783043
paragliders,open,Low mountains,fixed long segments,316.0,5692724.015664961,1564,1192,5572905.525027673,5813539.95198163
paragliders,open,Low mountains,fixed long segments,357.0,7097236.776774297,1564,1192,6945095.25331611,7250181.9694304485
paragliders,open,Low mountains,fixed long segments,402.0,8792296.088794757,1564,1192,8600467.523849552,8983633.865471955
paragliders,open,Low mountains,fixed long segments,453.0,10920888.01366688,1564,1192,10678270.510041293,11162561.908528322
paragliders,open,Low mountains,fixed long segments,511.0,13557581.45140665,1564,1192,13251135.047678266,13861627.868525662
paragliders,open,Low mountains,fixed long segments,576.0,16812163.229060102,1564,1192,16424986.085321706,17196908.40987416
paragliders,open,Low mountains,fixed long segments,649.0,20813811.746003836,1564,1192,20320285.952111825,21298593.845452704
paragliders,open,Low mountains,fixed long segments,732.0,25801919.04299872,1564,1192,25183866.8214398,26415639.13195104
paragliders,open,Low mountains,fixed long segments,825.0,31958585.440856777,1564,1192,31176429.911169536,32734732.663438506
paragliders,open,Low mountains,fixed long segments,931.0,39691205.245204605,1564,1192,38700311.8458259,40675488.420701824
