discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,Plains,fixed long segments,67.0,476684.68956743,393,296,454121.6163721984,500512.4442372672
paragliders,open,Plains,fixed long segments,75.0,598250.9782124682,393,296,569613.0916341151,627963.7984237169
paragliders,open,Plains,fixed long segments,85.0,750354.7021509224,393,296,714471.5252469693,789206.7063970612
paragliders,open,Plains,fixed long segments,95.0,942213.3444258906,393,296,896273.180057914,990039.0999230077
paragliders,open,Plains,fixed long segments,107.0,1175166.3209685115,393,296,1117867.0084063332,1236389.6944029068
paragliders,open,Plains,fixed long segments,121.0,1482473.903307888,393,296,1409193.2919391731,1560375.0619174016
paragliders,open,Plains,fixed long segments,137.0,1885668.2480120866,393,296,1791811.6708219217,1985976.2616041924
paragliders,open,Plains,fixed long segments,154.0,2357621.455629771,393,296,2240032.9163051685,2484456.087848496
paragliders,open,Plains,fixed long segments,174.0,2978331.528983779,393,296,2828602.233109163,3139448.8430181895
paragliders,open,Plains,fixed long segments,196.0,3740815.4633826334,393,296,3549081.2516008853,3945348.9749092013
paragliders,open,Plains,fixed long segments,221.0,4691691.099514949,393,296,4449160.326958895,4953457.429701463
paragliders,open,Plains,fixed long segments,249.0,5899331.712348918,393,296,5591264.826393537,6227889.824059483
paragliders,open,Plains,fixed long segments,281.0,7401181.850986005,393,296,7010016.589825059,7821967.831007977
paragliders,open,Plains,fixed long segments,316.0,9257742.958015267,393,296,8762822.116640177,9785063.540780386
paragliders,open,Plains,fixed long segments,357.0,11650156.48711832,393,296,11020929.630879903,12326561.679120135
paragliders,open,Plains,fixed long segments,402.0,14565494.816873409,393,296,13772786.532880431,15422971.983678142
paragliders,open,Plains,fixed long segments,453.0,18297313.169529263,393,296,17294404.680905025,19381803.20616228
paragliders,open,Plains,fixed long segments,511.0,22961024.425652035,393,296,21692156.486880578,24339285.675596125
paragliders,open,Plains,fixed long segments,576.0,28843506.999920484,393,296,27233421.751755264,30589707.41373838
paragliders,open,Plains,fixed long segments,649.0,36190400.14527672,393,296,34155598.08050963,38402368.39120225
paragliders,open,Plains,fixed long segments,732.0,45471050.39798028,393,296,42880767.28480525,48260233.92405946
paragliders,open,Plains,fixed long segments,825.0,57177480.14297074,393,296,53903208.11937326,60730351.94070934
paragliders,open,Plains,fixed long segments,931.0,72129040.13390586,393,296,67945786.513764,76643001.4856828
paragliders,open,Plains,fixed long segments,1049.0,90845913.44354326,393,296,85530012.6108211,96575567.7010532
paragliders,open,Plains,fixed long segments,1183.0,114604042.81027354,393,296,107818304.86278124,121874270.6903735
paragliders,open,Plains,fixed long segments,1334.0,144673219.50540712,393,296,136006665.62502745,153901537.6449435
paragliders,open,Plains,fixed long segments,1504.0,182739527.79723284,393,296,171717700.7562282,194464535.10095683
paragliders,open,Plains,fixed long segments,1695.0,230940636.1994275,393,296,216924741.18286094,245871889.31235293
paragliders,open,Plains,fixed long segments,1911.0,291996345.52624047,393,296,274289493.1796722,310917405.5977181
paragliders,open,Plains,fixed long segments,2155.0,369931693.09494275,393,296,347344263.5389753,393980189.37589705
paragliders,open,Plains,fixed long segments,2429.0,468270685.7138995,393,296,439498194.35843736,498799971.55065316
paragliders,open,Plains,fixed long segments,2739.0,593580212.7581106,393,296,556844855.9050443,632307550.3061757
paragliders,open,Plains,fixed long segments,3088.0,752591487.1041666,393,296,705752816.528856,801692756.7976178
paragliders,open,Plains,fixed long segments,3481.0,953798000.3139313,393,296,894136657.77784,1016470602.0036333
paragliders,open,Plains,fixed long segments,3925.0,1210151447.759383,393,296,1134142943.6014264,1290227570.7825463
paragliders,open,Plains,fixed long segments,4425.0,1535294971.9702609,393,296,1438811931.3980703,1637735399.1290107
paragliders,open,Plains,fixed long segments,4989.0,1948392372.6548982,393,296,1824967918.1528645,2078168827.8477287
paragliders,open,Plains,fixed long segments,5624.0,2471264198.5416665,393,296,2314480141.0222006,2636515467.8470154
paragliders,open,Plains,fixed long segments,6341.0,3136505897.3530536,393,296,2938150339.8579783,3346066308.5640273
paragliders,open,Plains,fixed long segments,7149.0,3980589117.62834,393,296,3728652174.5874877,4246859710.0563717
paragliders,open,Plains,fixed long segments,8059.0,5048698233.452291,393,296,4728464110.782206,5387994105.848989
paragliders,open,Plains,fixed long segments,9086.0,6403686266.477895,393,296,5997338987.882942,6833188973.942697
paragliders,open,Plains,fixed long segments,10000.0,7740828802.7410145,393,296,7245588115.31905,8257843143.074643
paragliders,open,Hills,available segments,10.0,9552.350743528883,11818,8541,9477.442255270296,9625.109963223525
paragliders,open,Hills,available segments,11.0,11536.441120417958,11818,8541,11446.489439637488,11630.117923027625
paragliders,open,Hills,available segments,12.0,12878.377109543584,11818,8541,12774.999911710476,12983.27767646017
paragliders,open,Hills,available segments,14.0,17647.222743001952,11818,8541,17496.448023069715,17796.790531053826
paragliders,open,Hills,available segments,16.0,21790.284398668326,11818,8541,21598.6687529761,21973.823933298783
paragliders,open,Hills,available segments,18.0,27485.587689385662,11818,8541,27231.75477027123,27724.813719381687
paragliders,open,Hills,available segments,20.0,32415.52809236953,11818,8541,32118.85098972851,32713.06128078365
paragliders,open,Hills,available segments,23.0,42382.35827423384,11818,8541,41976.117968663224,42798.91892129997
paragliders,open,Hills,available segments,25.0,47191.12759668334,11818,8541,46744.48187351134,47648.3261937437
paragliders,open,Hills,available segments,29.0,63513.88616658407,11818,8541,62894.99599705358,64145.58216000581
paragliders,open,Hills,available segments,32.0,74866.0333487325,11818,8541,74127.339984735,75626.747022644
paragliders,open,Hills,available segments,37.0,97748.15095391836,11818,8541,96753.38841427487,98744.93972974119
paragliders,open,Hills,available segments,41.0,119232.74356215526,11818,8541,118014.66829153156,120494.93152743598
paragliders,open,Hills,available segments,46.0,148889.62387939388,11818,8541,147336.90037589602,150450.28753880874
paragliders,open,Hills,available segments,52.0,185377.8200736221,11817,8540,183457.03041133948,187341.93556354186
paragliders,open,Hills,available segments,59.0,239847.51770861616,11814,8538,237279.106388995,242490.10997141284
paragliders,open,Hills,available segments,67.0,301091.9221425176,11813,8537,297865.7085560742,304383.95242016
paragliders,open,Hills,available segments,75.0,375266.5316657741,11812,8536,371132.5251110907,379434.2947021524
paragliders,open,Hills,available segments,85.0,469483.77219116513,11812,8536,464278.20814248937,474832.33553020324
paragliders,open,Hills,available segments,95.0,585604.1265619431,11810,8534,579038.8019570095,592385.8524709614
paragliders,open,Hills,available segments,107.0,728331.5895419643,11805,8530,720007.5810827599,736920.5588996913
paragliders,open,Hills,available segments,121.0,912941.7001691011,11805,8530,902389.2617245056,923877.1413516059
paragliders,open,Hills,available segments,137.0,1154719.2045300726,11799,8526,1141103.933655797,1168876.352358431
paragliders,open,Hills,available segments,154.0,1438829.6300328334,11793,8523,1421677.5360136689,1456766.4404308104
paragliders,open,Hills,available segments,174.0,1809854.2968440123,11791,8522,1787866.817470691,1832837.379684177
paragliders,open,Hills,available segments,196.0,2257024.723758018,11790,8521,2228987.2446707888,2286040.7997534345
paragliders,open,Hills,available segments,221.0,2819544.079841316,11788,8519,2784279.8931768704,2856495.9399436167
paragliders,open,Hills,available segments,249.0,3525119.8914990653,11783,8514,3480317.367482219,3571250.598014298
paragliders,open,Hills,available segments,281.0,4401898.318031053,11779,8513,4345477.244368597,4460835.143084739
paragliders,open,Hills,available segments,316.0,5474478.027250042,11773,8509,5402837.65719787,5548258.295303974
paragliders,open,Hills,available segments,357.0,6852042.25712789,11772,8508,6760418.688475332,6946103.5265372135
paragliders,open,Hills,available segments,402.0,8530148.637438437,11766,8503,8413682.545269676,8649617.779433561
paragliders,open,Hills,available segments,453.0,10645017.85097411,11759,8498,10496531.029744102,10798314.93487378
paragliders,open,Hills,available segments,511.0,13286738.529498406,11755,8495,13096122.730648587,13478181.514748387
paragliders,open,Hills,available segments,576.0,16569962.039725589,11750,8494,16326197.52324203,16814070.654752847
paragliders,open,Hills,available segments,649.0,20662133.43415831,11748,8493,20351991.587826148,20970297.68073199
paragliders,open,Hills,available segments,732.0,25801888.69100896,11741,8489,25407579.858187735,26198118.51522549
paragliders,open,Hills,available segments,825.0,32229455.45054736,11731,8482,31722117.82812005,32739690.49689855
paragliders,open,Hills,available segments,931.0,40335958.186522804,11705,8467,39701695.85912545,40986383.85308669
paragliders,open,Hills,available segments,1049.0,50383781.01583527,11689,8454,49574645.092386864,51202754.88912546
paragliders,open,Hills,available segments,1183.0,63069821.281680934,11673,8445,62038214.732442185,64108028.12199684
paragliders,open,Hills,available segments,1334.0,78541598.80012196,11506,8333,77224870.33359317,79874693.90633819
paragliders,open,Hills,available segments,1504.0,97763153.04773767,11228,8133,96075009.98470499,99545586.47271493
paragliders,open,Hills,available segments,1695.0,122126829.81890854,10862,7893,119920289.85315157,124380699.01458988
paragliders,open,Hills,available segments,1911.0,152739846.81272206,10384,7565,149830372.19829893,155748084.08795094
paragliders,open,Hills,available segments,2155.0,192187899.0220576,9791,7176,188366557.01872456,196049241.07649678
paragliders,open,Hills,available segments,2429.0,242258351.16629174,9116,6715,237135117.52457663,247500244.44878954
paragliders,open,Hills,available segments,2739.0,308278571.1406159,8341,6193,301249003.39468294,315191252.5408208
paragliders,open,Hills,available segments,3088.0,392202185.1926744,7383,5522,382758788.4226898,401439644.35338277
paragliders,open,Hills,available segments,3481.0,504398123.52206075,6417,4850,490948423.523436,517631715.106946
paragliders,open,Hills,available segments,3925.0,655073989.9281291,5461,4163,636595335.0134478,672405610.7280754
paragliders,open,Hills,available segments,4425.0,856585466.9478432,4528,3508,830662299.9869711,881594884.6750674
paragliders,open,Hills,available segments,4989.0,1138929663.675159,3547,2767,1101724627.624086,1176715666.6961083
paragliders,open,Hills,available segments,5624.0,1530040145.727996,2696,2126,1472922243.4050937,1586682736.4528427
paragliders,open,Hills,available segments,6341.0,2089799316.3632517,1984,1573,2004257642.739794,2177919250.9230423
paragliders,open,Hills,available segments,7149.0,2868743784.828036,1350,1092,2734071276.4810233,3008595012.3836265
paragliders,open,Hills,available segments,8059.0,3947423530.0209336,915,743,3746513053.293016,4168634075.2255945
paragliders,open,Hills,available segments,9086.0,5643870241.677258,598,488,5308192499.770106,5987528706.247592
paragliders,open,Hills,available segments,10000.0,7613746176.896882,417,343,7097450186.255091,8117157395.506821
paragliders,open,Hills,fixed long segments,10.0,13630.484167743929,417,343,13133.467299557611,14109.632860844144
paragliders,open,Hills,fixed long segments,11.0,16357.076710506595,417,343,15731.07744536148,16969.176734564815
paragliders,open,Hills,fixed long segments,12.0,18338.428011887365,417,343,17611.167032347414,19064.986409161997
paragliders,open,Hills,fixed long segments,14.0,25702.37261245691,417,343,24702.045841245297,26683.586460839608
paragliders,open,Hills,fixed long segments,16.0,32268.56395898906,417,343,30951.491023864728,33553.51542113962
paragliders,open,Hills,fixed long segments,18.0,41374.54055895908,417,343,39687.89530840735,43027.69414170538
paragliders,open,Hills,fixed long segments,20.0,48861.7826949378,417,343,46881.2105958752,50803.604454400374
paragliders,open,Hills,fixed long segments,23.0,64843.66559408723,417,343,62143.89384406601,67461.19247982124
paragliders,open,Hills,fixed long segments,25.0,72468.91716782824,417,343,69400.74383993863,75446.35395039136
paragliders,open,Hills,fixed long segments,29.0,99158.42721447842,417,343,94891.1643338876,103283.16802759413
paragliders,open,Hills,fixed long segments,32.0,116542.33063549161,417,343,111487.47749120148,121438.61723758637
paragliders,open,Hills,fixed long segments,37.0,154241.5531231265,417,343,147448.0324033415,160830.0977394547
paragliders,open,Hills,fixed long segments,41.0,189109.66447467025,417,343,180741.0090640046,197135.75188588572
paragliders,open,Hills,fixed long segments,46.0,237833.04444881596,417,343,227329.24257536704,248074.9582474994
paragliders,open,Hills,fixed long segments,52.0,297171.3230759143,417,343,283866.5050284039,309867.20601038204
paragliders,open,Hills,fixed long segments,59.0,387665.35941247,417,343,370403.07647260657,404301.77437722526
paragliders,open,Hills,fixed long segments,67.0,488406.63494829135,417,343,466156.3089713068,509707.05484783795
paragliders,open,Hills,fixed long segments,75.0,612723.3537170264,417,343,584677.05182581,639867.2711260975
paragliders,open,Hills,fixed long segments,85.0,770338.4917565947,417,343,735060.4184956715,804399.7090333635
paragliders,open,Hills,fixed long segments,95.0,965687.178132494,417,343,920793.9878793005,1009146.5309129349
paragliders,open,Hills,fixed long segments,107.0,1205632.2488758992,417,343,1149457.3886798013,1260300.5030667863
paragliders,open,Hills,fixed long segments,121.0,1520165.5363833932,417,343,1449239.8404764258,1589186.223457026
paragliders,open,Hills,fixed long segments,137.0,1932293.3086031175,417,343,1840627.2508724944,2021332.0534352413
paragliders,open,Hills,fixed long segments,154.0,2420591.6980665466,417,343,2305949.5740950317,2532980.060180877
paragliders,open,Hills,fixed long segments,174.0,3058951.159547362,417,343,2912696.137758363,3203200.6074204817
paragliders,open,Hills,fixed long segments,196.0,3834262.1755095925,417,343,3648180.7176369596,4016010.8274742044
paragliders,open,Hills,fixed long segments,221.0,4811599.946342926,417,343,4577134.0564555535,5043458.2050405685
paragliders,open,Hills,fixed long segments,249.0,6047577.9494904075,417,343,5749070.044205451,6341156.872454166
paragliders,open,Hills,fixed long segments,281.0,7588238.915017986,417,343,7211262.803384315,7960172.666194592
paragliders,open,Hills,fixed long segments,316.0,9483146.053806955,417,343,9005729.24004679,9953849.956075158
paragliders,open,Hills,fixed long segments,357.0,11930812.417266186,417,343,11321960.998897023,12531074.978070835
paragliders,open,Hills,fixed long segments,402.0,14921133.644784173,417,343,14152405.144130778,15680905.677425476
paragliders,open,Hills,fixed long segments,453.0,18736530.898980815,417,343,17758050.892095406,19705321.639153562
paragliders,open,Hills,fixed long segments,511.0,23501853.276378896,417,343,22259197.021937832,24728586.296651598
paragliders,open,Hills,fixed long segments,576.0,29493894.741606716,417,343,27906200.754047267,31048334.446135473
paragliders,open,Hills,fixed long segments,649.0,36984099.48561151,417,343,34964539.305813,38963565.357666835
paragliders,open,Hills,fixed long segments,732.0,46439726.01618705,417,343,43871901.47728131,48951424.655029975
paragliders,open,Hills,fixed long segments,825.0,58341525.25719424,417,343,55082962.077967584,61516873.42195815
paragliders,open,Hills,fixed long segments,931.0,73509235.11630696,417,343,69349106.27246162,77556331.55861914
paragliders,open,Hills,fixed long segments,1049.0,92465865.72781774,417,343,87179659.37805931,97630877.77289587
paragliders,open,Hills,fixed long segments,1183.0,116540731.06834532,417,343,109832016.43006334,123113998.72326152
paragliders,open,Hills,fixed long segments,1334.0,146936725.44604316,417,343,138438172.18230626,155348461.02175638
paragliders,open,Hills,fixed long segments,1504.0,185326392.08393285,417,343,174553917.07855433,196004300.05647174
paragliders,open,Hills,fixed long segments,1695.0,233803732.70983213,417,343,220070917.02090073,247408171.40037155
paragliders,open,Hills,fixed long segments,1911.0,295204749.52757794,417,343,277682093.6577685,312474586.8391382
paragliders,open,Hills,fixed long segments,2155.0,373336403.8321343,417,343,350906728.62675947,395308844.709514
paragliders,open,Hills,fixed long segments,2429.0,471876041.1582734,417,343,443211773.34149194,499840390.46941245
paragliders,open,Hills,fixed long segments,2739.0,597302753.35012,417,343,560839182.3591025,632887553.7432604
paragliders,open,Hills,fixed long segments,3088.0,756121428.9760191,417,343,709644693.2754487,801495067.0711248
paragliders,open,Hills,fixed long segments,3481.0,956893458.942446,417,343,897585821.4479487,1014839745.7718692
paragliders,open,Hills,fixed long segments,3925.0,1212098808.2709832,417,343,1136104808.7061527,1286133348.5123453
paragliders,open,Hills,fixed long segments,4425.0,1534962921.4172661,417,343,1437610229.5839787,1629228562.6790445
paragliders,open,Hills,fixed long segments,4989.0,1944070969.8992805,417,343,1819868151.8579786,2064668943.2721834
paragliders,open,Hills,fixed long segments,5624.0,2460869890.3117504,417,343,2301770152.3553195,2615201993.653925
paragliders,open,Hills,fixed long segments,6341.0,3115826799.755396,417,343,2911816771.4848404,3312249579.263103
paragliders,open,Hills,fixed long segments,7149.0,3944259733.7517986,417,343,3683048166.614835,4196421768.646112
paragliders,open,Hills,fixed long segments,8059.0,4990860719.194244,417,343,4657455120.802925,5313231440.426921
paragliders,open,Hills,fixed long segments,9086.0,6312467528.247003,417,343,5886679530.082947,6724025258.137598
paragliders,open,Hills,fixed long segments,10000.0,7613746176.896882,417,343,7097450186.255091,8117157395.506821
paragliders,open,Low mountains,available segments,10.0,8125.077810992239,28156,18953,8091.529864610368,8158.099518286427
paragliders,open,Low mountains,available segments,11.0,9804.862780273967,28156,18953,9763.855962618109,9844.053032111931
paragliders,open,Low mountains,available segments,12.0,10943.72369324774,28156,18953,10896.650415898957,10989.126505538008
paragliders,open,Low mountains,available segments,14.0,15021.590217479135,28156,18953,14957.667912583338,15085.491614191431
paragliders,open,Low mountains,available segments,16.0,18609.285590613687,28156,18953,18529.721756512074,18687.254178745166
paragliders,open,Low mountains,available segments,18.0,23504.939325102925,28156,18953,23401.933576107815,23607.834903676183
paragliders,open,Low mountains,available segments,20.0,27679.22273398261,28156,18953,27554.13129796508,27800.092775212044
paragliders,open,Low mountains,available segments,23.0,36239.82024113933,28156,18953,36065.19560239156,36411.60722359771
paragliders,open,Low mountains,available segments,25.0,40273.82892202897,28156,18953,40080.90475043599,40464.20412734877
paragliders,open,Low mountains,available segments,29.0,54159.121605188026,28156,18953,53891.5039446252,54416.65514329314
paragliders,open,Low mountains,available segments,32.0,63660.57850033835,28156,18953,63337.430673947514,63974.25141942
paragliders,open,Low mountains,available segments,37.0,82931.73743566783,28156,18953,82507.44183199796,83346.32071283081
paragliders,open,Low mountains,available segments,41.0,100794.60349510433,28156,18953,100258.60180533248,101309.26860114493
paragliders,open,Low mountains,available segments,46.0,125649.22415846787,28156,18953,124980.82856749455,126301.83528410796
paragliders,open,Low mountains,available segments,52.0,155694.6864496709,28154,18952,154827.7131713211,156507.96458084107
paragliders,open,Low mountains,available segments,59.0,200759.01840943273,28151,18952,199619.2439974487,201850.4983676068
paragliders,open,Low mountains,available segments,67.0,251033.1025414557,28148,18950,249582.4677167224,252435.09746826394
paragliders,open,Low mountains,available segments,75.0,311709.0560072111,28146,18950,309883.73147850845,313488.8110601218
paragliders,open,Low mountains,available segments,85.0,387929.117106194,28141,18947,385582.84370323503,390142.3379879645
paragliders,open,Low mountains,available segments,95.0,482174.978490005,28136,18943,479290.11757492763,485014.2433180801
paragliders,open,Low mountains,available segments,107.0,596698.8256853654,28129,18939,593046.9276676833,600226.7313154705
paragliders,open,Low mountains,available segments,121.0,744089.1457458932,28128,18938,739438.7451386556,748669.3552523524
paragliders,open,Low mountains,available segments,137.0,936052.8791467071,28125,18937,930121.9616184683,941896.4146550345
paragliders,open,Low mountains,available segments,154.0,1160455.1312767137,28120,18935,1152996.0249219327,1167831.1351126186
paragliders,open,Low mountains,available segments,174.0,1450985.095285829,28113,18930,1441520.0685183224,1460419.300618996
paragliders,open,Low mountains,available segments,196.0,1798533.813329393,28110,18928,1786515.466957539,1810540.1033629053
paragliders,open,Low mountains,available segments,221.0,2230966.052742715,28104,18924,2215710.556813295,2246209.725850271
paragliders,open,Low mountains,available segments,249.0,2768234.8546133204,28099,18919,2748749.141131794,2787466.7127474966
paragliders,open,Low mountains,available segments,281.0,3430265.575703077,28088,18911,3405376.7496056966,3454488.5092108124
paragliders,open,Low mountains,available segments,316.0,4229564.89168964,28083,18908,4198133.283902968,4259921.25845126
paragliders,open,Low mountains,available segments,357.0,5242482.795669437,28073,18900,5202609.066330604,5281390.3562259115
paragliders,open,Low mountains,available segments,402.0,6460133.792146435,28060,18891,6409584.996569485,6509172.2120314855
paragliders,open,Low mountains,available segments,453.0,7976520.00794392,28051,18886,7913076.352241503,8037499.894335848
paragliders,open,Low mountains,available segments,511.0,9839831.896107268,28040,18880,9761063.157219535,9917668.938895967
paragliders,open,Low mountains,available segments,576.0,12127280.76319215,28032,18877,12027019.943450725,12224823.697329246
paragliders,open,Low mountains,available segments,649.0,14918571.784790039,28015,18865,14789578.812745845,15045661.714430029
paragliders,open,Low mountains,available segments,732.0,18363465.423139807,27995,18851,18199861.09851117,18522678.32134824
paragliders,open,Low mountains,available segments,825.0,22588211.667484753,27974,18841,22380768.064729117,22790846.13381344
paragliders,open,Low mountains,available segments,931.0,27837682.132009126,27949,18821,27577737.74794027,28095364.72803601
paragliders,open,Low mountains,available segments,1049.0,34224333.23279565,27924,18807,33894292.91368866,34551860.35504917
paragliders,open,Low mountains,available segments,1183.0,42127415.877365604,27880,18783,41711796.98389184,42546589.24650206
paragliders,open,Low mountains,available segments,1334.0,51646413.176974304,27666,18655,51110286.52153414,52177603.23148851
paragliders,open,Low mountains,available segments,1504.0,63329345.31977832,27338,18442,62635317.64159662,64001694.1635129
