discipline,altitude_band,control,control_index,h_eff,slope,intercept_log_m2,h_eff_bootstrap_se,n_flights_min,n_clusters_min,n_lags,status,resamples,n_finite_resamples,requested_low_s,requested_high_s,actual_low_s,actual_high_s,ci95_low,ci95_high
hang gliders,Hills,fixed long segments,1,0.9328560576539651,1.8657121153079301,6.085236082029426,0.0037154245518995588,68,63,20,ok,2000,2000,10,100,10.0,95.0,0.9254080548160183,0.9398469719738355
hang gliders,Hills,fixed long segments,1,0.9001079804287072,1.8002159608574144,6.418602498253769,0.004931788289556177,68,63,19,ok,2000,2000,100,1000,107.0,931.0,0.8901687713692492,0.9095401867431134
hang gliders,Hills,fixed long segments,1,0.8702473267165087,1.7404946534330175,6.8772320200756205,0.017855231121888325,68,63,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8306593155011056,0.9015637963486017
hang gliders,Low mountains,available segments,0,0.9070042751220699,1.8140085502441399,5.694346147014347,0.0009581105380281168,3318,2341,20,ok,2000,2000,10,100,10.0,95.0,0.9051478474192024,0.908898161307856
hang gliders,Low mountains,available segments,0,0.8531244379644911,1.7062488759289822,6.237299868763998,0.001146382896302243,3300,2331,19,ok,2000,2000,100,1000,107.0,931.0,0.8508764350590546,0.8553679065314831
hang gliders,Low mountains,available segments,0,0.8667658840403754,1.7335317680807507,5.939716989635658,0.006715609765681137,348,315,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8539687857488003,0.8797336577739643
hang gliders,Low mountains,fixed long segments,1,0.9345059694407511,1.8690119388815023,5.896470034131284,0.0018894942405559803,348,315,20,ok,2000,2000,10,100,10.0,95.0,0.9308572842275846,0.9383291838634064
hang gliders,Low mountains,fixed long segments,1,0.8845068831277901,1.7690137662555803,6.385971490649656,0.0013973443197928084,348,315,19,ok,2000,2000,100,1000,107.0,931.0,0.8817203065496788,0.8872501610467654
hang gliders,Low mountains,fixed long segments,1,0.76505010043316,1.53010020086632,8.143879344997748,0.003942623026824869,348,315,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.7571189746640491,0.7725273104414178
hang gliders,High mountains,available segments,0,0.8927769536624478,1.7855539073248956,5.6798500802558305,0.0013764597621491092,1973,1285,20,ok,2000,2000,10,100,10.0,95.0,0.8900487147951957,0.8953754270622233
hang gliders,High mountains,available segments,0,0.8346502591800482,1.6693005183600964,6.271704274913883,0.001786396499765294,1962,1277,19,ok,2000,2000,100,1000,107.0,931.0,0.8310743084626445,0.8382073384987817
hang gliders,High mountains,available segments,0,0.8658049075215637,1.7316098150431274,5.715200452550157,0.013877529434827847,102,77,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8380602380171596,0.892584801368694
hang gliders,High mountains,fixed long segments,1,0.9301362751091553,1.8602725502183106,5.677447604263527,0.0037232827746206346,102,77,20,ok,2000,2000,10,100,10.0,95.0,0.9230228387525082,0.9374355823503878
