discipline,statistic,days,offset_days,seed,archive_blocks,contributing_blocks,cohort_flights,flights_per_block_median,flights_per_block_p95,largest_block_fraction,size_balance_index,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio
para,msd_100,4,1,20260919,1848,1465,46273,9.0,146.0,0.011432152659218119,363.45556739429963,614697.1473775369,2883.2387510584867,65.01831088181488,609873.5179846155,619359.6675737968,1000,0,1.9896621449454865
para,msd_1000,4,1,20260919,1848,1465,46273,9.0,146.0,0.011432152659218119,363.45556739429963,38415664.97888113,273014.2174957689,6041.708851966815,37961701.9014174,38862705.01722359,1000,0,1.9629305641054258
para,msd_10000,4,1,20260919,1848,1465,46273,9.0,146.0,0.011432152659218119,363.45556739429963,1444562811.0101788,26392478.831690926,556103.2248453799,1404393133.3608963,1488178693.7384503,1000,0,1.6802929349251994
para,hurst,4,1,20260919,1848,1465,46273,9.0,146.0,0.011432152659218119,363.45556739429963,0.8822765078884935,0.0008764127809701578,1.800554244231992e-05,0.8809242849172875,0.88369266407055,1000,0,1.6910672999847154
para,msd_100,4,2,20260918,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,614697.1473775373,3022.5070018929637,68.88794292762611,609628.8768326223,619638.8980534569,1000,0,2.085768222382329
para,msd_1000,4,2,20260918,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,38415664.9788811,287472.0123509198,6526.84607142075,37936054.11553071,38882992.68002718,1000,0,2.066879902975229
para,msd_10000,4,2,20260918,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,1444562811.0101771,26973923.022094958,623499.9976608261,1400336172.952422,1488988219.930343,1000,0,1.717310926733383
para,hurst,4,2,20260918,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,0.8822765078884934,0.0009136124097059524,2.1163227173257694e-05,0.8808121424421214,0.8837234041063481,1000,0,1.7628452077156342
para,msd_100,4,2,20260919,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,614697.1473775373,2859.0305640433576,64.18345307734842,609869.3821898333,619431.8859338984,1000,0,1.9729565865576906
para,msd_1000,4,2,20260919,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,38415664.9788811,275536.15945402614,6309.646451491169,37974462.42822266,38869853.37932424,1000,0,1.9810629419580177
para,msd_10000,4,2,20260919,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,1444562811.0101771,26504732.088182606,641785.3500339101,1402608268.0397,1488052720.15968,1000,0,1.6874396055736127
