discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_10000,raw,60,0.020071258681797873,1934,2.2655058119550286
para,msd_10000,raw,61,-0.0035261924861327417,1945,2.2693335125403644
para,msd_10000,raw,62,0.03117518467359474,1929,2.272923990768555
para,msd_10000,raw,63,0.014522846155559849,1920,2.277390173963267
para,msd_10000,raw,64,-0.017425236860275285,1921,2.282170627875505
para,hurst,raw,0,1.0,3642,
para,hurst,raw,1,0.17380873727002702,2503,1.0
para,hurst,raw,2,0.08287249640934427,2312,1.173808737270027
para,hurst,raw,3,0.0420278130853933,2257,1.2869933139662655
para,hurst,raw,4,0.026297919608275575,2246,1.3645995088570815
para,hurst,raw,5,0.01320319900795553,2183,1.4216823936348812
para,hurst,raw,6,0.012477101626162817,2214,1.4641387164893995
para,hurst,raw,7,0.06478763021078669,2181,1.4980295475643879
para,hurst,raw,8,0.016803739642318093,2174,1.5396445784233257
para,hurst,raw,9,0.0007282106616491585,2171,1.5757459890119034
para,hurst,raw,10,0.03331975792738689,2183,1.6047727596150958
para,hurst,raw,11,0.024369563919448778,2130,1.6345800733681415
para,hurst,raw,12,0.026747405612142162,2155,1.663481095482254
para,hurst,raw,13,0.026221097054527395,2172,1.692050791980679
para,hurst,raw,14,0.028587265617300982,2167,1.7202849742728334
para,hurst,raw,15,0.05174575818244038,2158,1.7485662343416737
para,hurst,raw,16,0.02668320068838234,2165,1.7797805566747138
para,hurst,raw,17,0.01583757143528468,2115,1.8104618058730884
para,hurst,raw,18,0.02008485361780378,2132,1.8394937575422308
para,hurst,raw,19,0.007160711939541404,2139,1.8675839094164954
para,hurst,raw,20,0.01924201780016887,2121,1.893581117297288
para,hurst,raw,21,0.038681003277104574,2114,1.9189349737418304
para,hurst,raw,22,0.005288660305087807,2144,1.9455003889893332
para,hurst,raw,23,0.029638042828942106,2077,1.9702156516331473
para,hurst,raw,24,-0.002654427949961271,2108,1.995341145959056
para,hurst,raw,25,0.005160592587554526,2079,2.0182442465028947
para,hurst,raw,26,0.016843531630922892,2083,2.0397825387424042
para,hurst,raw,27,0.02587771732502297,2071,2.0609730709368326
para,hurst,raw,28,0.029660605785299755,2104,2.0824984020691613
para,hurst,raw,29,0.026591750205129414,2078,2.104584786625833
para,hurst,raw,30,0.008170169168286721,2066,2.126971528892401
para,hurst,raw,31,-0.0050933451806211465,2065,2.148441072894564
para,hurst,raw,32,-0.030286782671902917,2082,2.1682504363228032
para,hurst,raw,33,-0.006418278555536365,2052,2.1850236696843672
para,hurst,raw,34,-0.014249670996667341,2045,2.2004326964625722
para,hurst,raw,35,-0.041559996503764234,2056,2.2141469405107843
para,hurst,raw,36,-0.013148873946789147,2041,2.22479039341722
para,hurst,raw,37,-0.012229708112862121,2030,2.23414777460186
para,hurst,raw,38,-0.010248151698586309,2022,2.242368993191895
para,hurst,raw,39,-0.0037552612139518013,2024,2.249643064587641
para,hurst,raw,40,-0.014607996445885988,2066,2.256365669352902
para,hurst,raw,41,-0.005701260125880533,2054,2.262047756985912
para,hurst,raw,42,-0.028145545883273677,2029,2.2671877804399285
para,hurst,raw,43,-0.025710327494416384,2045,2.270779637878256
para,hurst,raw,44,0.008557821836398725,2025,2.273039577819641
para,hurst,raw,45,0.005409717569661203,2004,2.275579423623026
para,hurst,raw,46,0.006798859629368276,1974,2.278244046459728
para,hurst,raw,47,0.01942088371097875,1990,2.2810845942663294
para,hurst,raw,48,-0.019846902283437728,1991,2.284615989402281
para,hurst,raw,49,-0.0076902901847496095,1983,2.2871931683170335
para,hurst,raw,50,-0.0047322479481568674,1982,2.289359648467804
para,hurst,raw,51,0.00017717363648247461,1967,2.2912555902617564
para,hurst,raw,52,-0.006156171135029524,1950,2.293085425588113
para,hurst,raw,53,0.006046270932111953,1981,2.294613902180076
para,hurst,raw,54,-0.01081198341531943,1985,2.2963097044883423
para,hurst,raw,55,0.0035956471887461233,1954,2.297550678224842
para,hurst,raw,56,0.007209063938747529,1950,2.2988757474417785
