configuration,window_s,contrast,point,low,high,se,sim_low,sim_high
calendar_3day_seed20260922,10_10000,attenuation_beginners,0.10361710116538358,0.0907551014324962,0.1194324452383455,0.008850093474117767,0.07958283745712602,0.12765136487364115
calendar_3day_seed20260922,10_10000,attenuation_experts,0.10914477412151213,0.09552123770072729,0.12523177154071277,0.009052285171997493,0.08456141693749937,0.13372813130552488
calendar_3day_seed20260922,10_10000,attenuation_experts_minus_beginners,0.005527672956128549,-0.015320088839817088,0.024690854633920456,0.012687904809119988,-0.02892896312115966,0.03998430903341676
calendar_3day_seed20260922,10_100,circuit_alt0_beginners,0.025647286622056953,0.016279292066843525,0.034799965001431094,0.005604064807467558,0.010355930164521012,0.04093864307959289
calendar_3day_seed20260922,10_100,circuit_alt0_experts,0.033028241473831876,0.025300029518398486,0.04180751291089303,0.005024334717150841,0.019318747425948975,0.04673773552171478
calendar_3day_seed20260922,10_100,circuit_alt1_beginners,0.01695822944531722,0.013224245549253388,0.02077986579191424,0.002285683929736249,0.010721469357838367,0.02319498953279607
calendar_3day_seed20260922,10_100,circuit_alt1_experts,0.02995641163940488,0.02683729761033223,0.0330280535194895,0.001901613720225791,0.024767632737032787,0.03514519054177697
calendar_3day_seed20260922,10_100,circuit_alt2_beginners,-0.0008275904792347522,-0.0021094328591459597,0.0004724653843729719,0.0007697074675892045,-0.0029278287275951507,0.0012726477691256464
calendar_3day_seed20260922,10_100,circuit_alt2_experts,-0.0025719298047186534,-0.003883424659008422,-0.0012411255672909076,0.000808059557499501,-0.004776816285720535,-0.0003670433237167722
calendar_3day_seed20260922,10_100,circuit_alt3_beginners,-0.0012268972465183658,-0.002591652430468383,2.9008464445123596e-05,0.0007994737693132907,-0.003408356384665593,0.0009545618916288615
calendar_3day_seed20260922,10_100,circuit_alt3_experts,-0.006539266408112754,-0.0078079983578295984,-0.005201567192728812,0.0007971742198901717,-0.008714450952526915,-0.004364081863698592
calendar_3day_seed20260922,10_100,equipment_alt0_open,0.01689878498345032,0.014535371753899923,0.01924140696619133,0.0014581926473792612,0.01291993314627635,0.020877636820624292
calendar_3day_seed20260922,10_100,equipment_alt0_closed,0.009517830131675398,-0.0015615911735853871,0.02090870891705432,0.006855591660907545,-0.009188465997262616,0.02822412626061341
calendar_3day_seed20260922,10_100,equipment_alt1_open,0.01907920132994334,0.016612191362454544,0.021536489967738204,0.0014577597543562492,0.01510153069280011,0.02305687196708657
calendar_3day_seed20260922,10_100,equipment_alt1_closed,0.006081019135855681,0.001935020250824254,0.010047675650700773,0.0023854015073182223,-0.00042783220614543965,0.012589870477856802
calendar_3day_seed20260922,10_100,equipment_alt2_open,0.014538846094185875,0.013266859282059663,0.015793848777515707,0.0007792937709163423,0.012412450478571266,0.016665241709800487
calendar_3day_seed20260922,10_100,equipment_alt2_closed,0.016283185419669777,0.015409531010999794,0.017249920665675933,0.0005762672281908209,0.014710771840633368,0.017855598998706187
calendar_3day_seed20260922,10_100,equipment_alt3_open,0.011069454920727861,0.009685402317742443,0.012410383311143618,0.0008163694594836164,0.008841893885142497,0.013297015956313225
calendar_3day_seed20260922,10_100,equipment_alt3_closed,0.01638182408232225,0.015509273850606386,0.01721661811643375,0.0005314821283689471,0.014931611967560496,0.017832036197084004
calendar_3day_seed20260922,10_100,attenuation_beginners,0.02687418386857532,0.01749833028137715,0.036108162159898066,0.005702159725619345,0.011315163775505935,0.042433203961644704
calendar_3day_seed20260922,10_100,attenuation_experts,0.03956750788194463,0.031567853987624406,0.04812770831065427,0.005083591030681857,0.025696325944343738,0.053438689819545526
calendar_3day_seed20260922,10_100,attenuation_experts_minus_beginners,0.012693324013369311,0.0010989541789931776,0.024386538237022852,0.007079799179726431,-0.0066247489612166685,0.03201139698795529
calendar_3day_seed20260922,100_1000,circuit_alt0_beginners,0.07803593547485721,0.06812233301230246,0.08958835196827736,0.00651680151644428,0.06003652914228935,0.09603534180742507
calendar_3day_seed20260922,100_1000,circuit_alt0_experts,0.07938275412077511,0.0692631659079409,0.09091267582948746,0.006681759978558604,0.06092773250207356,0.09783777573947666
calendar_3day_seed20260922,100_1000,circuit_alt1_beginners,0.05852165483372074,0.0536041420549753,0.06387062273688307,0.0031108389346550676,0.04992951743645038,0.06711379223099109
