discipline,statistic,side_km,shift_x_km,shift_y_km,months,month_offset,pool_terrain,config_index,seed,rng_seed,replicate_key,groups,flights,singleton_groups,singleton_group_fraction,flights_in_singletons_fraction,flights_per_group_median,flights_per_group_p95,largest_group_flights,largest_group_fraction,size_balance_index,years_per_group_median,groups_with_multiple_years,archive_groups,unknown_archive_flights,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio_site_day,se_ratio_grid
para,msd_1000,50,0.0,0.0,3,0,False,14,20260919,1643681455,config_14_seed_20260919,1028,46273,309,0.3005836575875486,0.006677760248957275,4.0,148.0,4241,0.0916517191450738,37.396347744607944,2.0,654,2009,3,38415664.97888113,699695.1814743889,15595.91684531905,37363881.88542221,39658898.25016247,1000,0,5.030701587160587,1.4207618527287527
para,msd_10000,50,0.0,0.0,3,0,False,14,20260919,1643681455,config_14_seed_20260919,1028,46273,309,0.3005836575875486,0.006677760248957275,4.0,148.0,4241,0.0916517191450738,37.396347744607944,2.0,654,2009,3,1444562811.0101783,99047686.06472947,2208417.407812452,1301354324.2501016,1629174565.4041555,1000,0,6.305930116553253,1.4768844568594235
para,hurst,50,0.0,0.0,3,0,False,14,20260919,1643681455,config_14_seed_20260919,1028,46273,309,0.3005836575875486,0.006677760248957275,4.0,148.0,4241,0.0916517191450738,37.396347744607944,2.0,654,2009,3,0.8822765078884934,0.003036135393696623,6.632974191072362e-05,0.8777275155930411,0.8876027902450708,1000,0,5.858323148737153,1.4616412091930868
para,msd_100,50,0.0,0.0,3,1,False,15,20260918,62873937,config_15_seed_20260918,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,614697.1473775363,7687.640124386087,213.96550272735223,603281.8343758534,628531.567835232,1000,0,5.305078025133942,1.4305493268772058
para,msd_1000,50,0.0,0.0,3,1,False,15,20260918,62873937,config_15_seed_20260918,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,38415664.97888111,695806.5974922304,20093.587649767356,37383771.40477848,39659479.31679333,1000,0,5.002743261694302,1.4128659118544118
para,msd_10000,50,0.0,0.0,3,1,False,15,20260918,62873937,config_15_seed_20260918,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,1444562811.0101788,97039153.06546994,2579730.138668336,1310980340.3826544,1624610136.47991,1000,0,6.178055663011306,1.446935537449463
para,hurst,50,0.0,0.0,3,1,False,15,20260918,62873937,config_15_seed_20260918,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,0.8822765078884938,0.002971126148603793,7.391796246345036e-05,0.8779653553233354,0.8874804113476874,1000,0,5.732885671146419,1.4303447815688486
para,msd_100,50,0.0,0.0,3,1,False,15,20260919,3036996243,config_15_seed_20260919,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,614697.1473775363,7386.874719902017,171.27631374290672,603881.5888413821,628557.4621858202,1000,0,5.09752617408051,1.3745815994639774
para,msd_1000,50,0.0,0.0,3,1,False,15,20260919,3036996243,config_15_seed_20260919,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,38415664.97888111,678219.1169694455,15990.993322120463,37399457.17973947,39710232.73961742,1000,0,4.8762919604381025,1.3771537587998073
para,msd_10000,50,0.0,0.0,3,1,False,15,20260919,3036996243,config_15_seed_20260919,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,1444562811.0101788,98266355.11468805,2414637.197647095,1309959617.936302,1632874284.3422873,1000,0,6.256186214755877,1.4652341540444214
para,hurst,50,0.0,0.0,3,1,False,15,20260919,3036996243,config_15_seed_20260919,1057,46273,317,0.29990539262062443,0.006850647245694033,4.0,152.0,3236,0.06993279018001859,41.96275745687397,2.0,696,1979,3,0.8822765078884938,0.003000707761847997,6.984029191810053e-05,0.8778707376028635,0.8876955573285114,1000,0,5.7899643673090795,1.4445858147724098
para,msd_100,50,0.0,0.0,3,2,False,16,20260918,414785720,config_16_seed_20260918,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,614697.147377536,8040.363335249643,186.95700750310334,603393.6865978767,629479.0790050653,1000,0,5.548484860603671,1.4961855876426147
para,msd_1000,50,0.0,0.0,3,2,False,16,20260918,414785720,config_16_seed_20260918,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,38415664.9788811,730881.221215624,17135.609361753934,37410594.1389493,39779767.16180028,1000,0,5.254924454170895,1.4840864786160777
para,msd_10000,50,0.0,0.0,3,2,False,16,20260918,414785720,config_16_seed_20260918,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,1444562811.0101779,108124773.8101192,2976947.916173032,1300833070.2015936,1645730931.0997615,1000,0,6.883828331629601,1.61223148350227
para,hurst,50,0.0,0.0,3,2,False,16,20260918,414785720,config_16_seed_20260918,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,0.8822765078884934,0.0032666292803532272,8.010760203466299e-05,0.8776545616791901,0.8879970165904564,1000,0,6.303068687637091,1.572604430366891
