epsg,ix,iy,x_min_m,y_min_m,x_max_m,y_max_m
32635,6,93,300000.0,4650000.0,350000.0,4700000.0
32635,6,94,300000.0,4700000.0,350000.0,4750000.0
32635,7,94,350000.0,4700000.0,400000.0,4750000.0
32635,7,100,350000.0,5000000.0,400000.0,5050000.0
32635,13,80,650000.0,4000000.0,700000.0,4050000.0
32635,14,81,700000.0,4050000.0,750000.0,4100000.0
32636,5,80,250000.0,4000000.0,300000.0,4050000.0
32636,14,75,700000.0,3750000.0,750000.0,3800000.0
32636,15,1,750000.0,50000.0,800000.0,100000.0
32638,6,95,300000.0,4750000.0,350000.0,4800000.0
32638,9,89,450000.0,4450000.0,500000.0,4500000.0
32638,13,25,650000.0,1250000.0,700000.0,1300000.0
32639,11,65,550000.0,3250000.0,600000.0,3300000.0
32643,7,39,350000.0,1950000.0,400000.0,2000000.0
32643,13,70,650000.0,3500000.0,700000.0,3550000.0
32644,15,62,750000.0,3100000.0,800000.0,3150000.0
32644,15,63,750000.0,3150000.0,800000.0,3200000.0
32645,4,61,200000.0,3050000.0,250000.0,3100000.0
32647,15,33,750000.0,1650000.0,800000.0,1700000.0
32650,8,13,400000.0,650000.0,450000.0,700000.0
32652,10,78,500000.0,3900000.0,550000.0,3950000.0
32654,8,80,400000.0,4000000.0,450000.0,4050000.0
32706,4,160,200000.0,8000000.0,250000.0,8050000.0
32706,4,161,200000.0,8050000.0,250000.0,8100000.0
32719,5,107,250000.0,5350000.0,300000.0,5400000.0
32719,5,108,250000.0,5400000.0,300000.0,5450000.0
32719,7,125,350000.0,6250000.0,400000.0,6300000.0
32719,7,126,350000.0,6300000.0,400000.0,6350000.0
32719,7,153,350000.0,7650000.0,400000.0,7700000.0
32719,7,154,350000.0,7700000.0,400000.0,7750000.0
32719,7,155,350000.0,7750000.0,400000.0,7800000.0
32720,5,140,250000.0,7000000.0,300000.0,7050000.0
32721,8,116,400000.0,5800000.0,450000.0,5850000.0
32723,3,187,150000.0,9350000.0,200000.0,9400000.0
32723,4,166,200000.0,8300000.0,250000.0,8350000.0
32723,6,151,300000.0,7550000.0,350000.0,7600000.0
32723,8,149,400000.0,7450000.0,450000.0,7500000.0
32723,8,150,400000.0,7500000.0,450000.0,7550000.0
32723,9,151,450000.0,7550000.0,500000.0,7600000.0
32723,10,150,500000.0,7500000.0,550000.0,7550000.0
32723,12,149,600000.0,7450000.0,650000.0,7500000.0
32723,13,149,650000.0,7450000.0,700000.0,7500000.0
32723,14,149,700000.0,7450000.0,750000.0,7500000.0
32724,3,158,150000.0,7900000.0,200000.0,7950000.0
32724,5,154,250000.0,7700000.0,300000.0,7750000.0
32724,5,156,250000.0,7800000.0,300000.0,7850000.0
32724,6,157,300000.0,7850000.0,350000.0,7900000.0
32724,8,171,400000.0,8550000.0,450000.0,8600000.0
32724,9,188,450000.0,9400000.0,500000.0,9450000.0
32724,12,186,600000.0,9300000.0,650000.0,9350000.0
32724,13,186,650000.0,9300000.0,700000.0,9350000.0
32724,14,185,700000.0,9250000.0,750000.0,9300000.0
32724,14,187,700000.0,9350000.0,750000.0,9400000.0
32724,15,185,750000.0,9250000.0,800000.0,9300000.0
32725,4,185,200000.0,9250000.0,250000.0,9300000.0
32733,13,144,650000.0,7200000.0,700000.0,7250000.0
32734,5,127,250000.0,6350000.0,300000.0,6400000.0
32734,6,123,300000.0,6150000.0,350000.0,6200000.0
32734,6,124,300000.0,6200000.0,350000.0,6250000.0
32734,6,125,300000.0,6250000.0,350000.0,6300000.0
32734,6,127,300000.0,6350000.0,350000.0,6400000.0
32734,6,130,300000.0,6500000.0,350000.0,6550000.0
32734,11,126,550000.0,6300000.0,600000.0,6350000.0
32734,11,137,550000.0,6850000.0,600000.0,6900000.0
32734,12,124,600000.0,6200000.0,650000.0,6250000.0
32734,13,124,650000.0,6200000.0,700000.0,6250000.0
32735,5,128,250000.0,6400000.0,300000.0,6450000.0
32735,15,133,750000.0,6650000.0,800000.0,6700000.0
32736,6,142,300000.0,7100000.0,350000.0,7150000.0
32738,13,151,650000.0,7550000.0,700000.0,7600000.0
32740,6,153,300000.0,7650000.0,350000.0,7700000.0
32740,7,152,350000.0,7600000.0,400000.0,7650000.0
32740,7,153,350000.0,7650000.0,400000.0,7700000.0
32740,10,154,500000.0,7700000.0,550000.0,7750000.0
32754,13,120,650000.0,6000000.0,700000.0,6050000.0
32754,14,130,700000.0,6500000.0,750000.0,6550000.0
32755,9,118,450000.0,5900000.0,500000.0,5950000.0
32755,11,126,550000.0,6300000.0,600000.0,6350000.0
32756,5,132,250000.0,6600000.0,300000.0,6650000.0
32758,11,151,550000.0,7550000.0,600000.0,7600000.0
32758,11,152,550000.0,7600000.0,600000.0,7650000.0
32758,12,151,600000.0,7550000.0,650000.0,7600000.0
32759,6,100,300000.0,5000000.0,350000.0,5050000.0
32759,6,101,300000.0,5050000.0,350000.0,5100000.0
32759,7,101,350000.0,5050000.0,400000.0,5100000.0
