discipline,statistic,lag_s,ratio,lower,upper,excludes_one,lever_arm_s,origins_early
hang,m2,5440,0.9884477398803211,0.9622768572904884,1.0139736547728866,False,8122.193038586388,943697.0
hang,m2,6660,0.9421469487479732,0.9140390612136878,0.9689468986607815,True,7308.842088240631,849071.0
hang,m2,8160,0.9102712108337546,0.8800557100347265,0.9405500576486017,True,6308.846783769398,732721.0
hang,m2,10000,0.9205536275210328,0.8890682669835803,0.9525826369792977,True,5082.212154642353,589993.0
para,m1,10,1.0649837539707405,1.0633053495607476,1.0666646291791597,True,12353.500198172118,28607740.0
para,m1,20,1.1250274189959193,1.1224684154867055,1.127366996423946,True,12346.849339148614,28592213.0
para,m1,30,1.1506585356245826,1.1476070455903977,1.1534502568613998,True,12340.210991638267,28576623.0
para,m1,40,1.1655340682236421,1.162262898566894,1.1686480242602189,True,12333.500900459481,28561373.0
para,m1,50,1.175821728080429,1.1723207707854268,1.1791803540710186,True,12326.850042494783,28545846.0
para,m1,60,1.183501880225128,1.1798500841993376,1.1869802421147744,True,12320.211695517082,28530256.0
para,m1,80,1.1945269724769303,1.1906616009488336,1.198262131087044,True,12306.850748350922,28499479.0
para,m1,90,1.1987290660871959,1.194768791499901,1.2025910953818075,True,12300.212401909248,28483889.0
para,m1,100,1.2023158108275083,1.1982647411587994,1.2062877980228772,True,12293.502312561048,28468639.0
para,m1,110,1.2054180199586526,1.201272282165684,1.2094895142201716,True,12286.851456730608,28453112.0
para,m1,140,1.2126542508594724,1.208261459898883,1.2169201746830987,True,12266.852167647485,28406745.0
para,m1,170,1.2176523037518887,1.2130257330105723,1.2220611816638698,True,12246.852881115326,28360378.0
para,m1,210,1.221991447700607,1.217141273929992,1.22656041080727,True,12220.215252884616,28298421.0
para,m1,260,1.2249234432138796,1.2198655849207323,1.2297174208946868,True,12186.855036963787,28221277.0
para,m1,320,1.2260848253454373,1.2208198202424065,1.2310547973375405,True,12146.856487207799,28128543.0
para,m1,390,1.2253692628646504,1.2199656377328,1.2303999054068695,True,12100.21960710434,28020219.0
para,m1,470,1.222860579795316,1.2173426541137355,1.228005167586541,True,12046.860159197591,27896708.0
para,m1,580,1.217706820787694,1.2120730307473795,1.2230870120609285,True,11973.513983388584,27726767.0
para,m1,710,1.2102203989975167,1.204548088476925,1.2156243140401894,True,11886.866176061292,27525772.0
para,m1,870,1.2001162067924265,1.1944474956114315,1.2055896538607171,True,11780.231696930317,27278347.0
para,m1,1000,1.191715927795057,1.186046245961308,1.1971792260609913,True,11693.524774039399,27077629.0
para,m1,1070,1.1872253649985078,1.1815316912246367,1.1926562895793071,True,11646.875543954113,26969368.0
para,m1,1310,1.1725556567738744,1.1669020087162139,1.1779439790300525,True,11486.882030050618,26598432.0
para,m1,1610,1.1564716473283316,1.1509560586357037,1.1619002957425157,True,11286.89042474116,26134762.0
para,m1,1970,1.1409462472105962,1.1354788810819016,1.1462842101741932,True,11046.900945105024,25578358.0
para,m1,2410,1.1266463446486585,1.1212915963328787,1.1317801106352499,True,10753.565587086194,24898380.0
para,m1,2960,1.1128284063397327,1.1075826646649944,1.117976626337972,True,10386.932690859177,24048247.0
para,m1,3620,1.0979223249207386,1.0928340137704948,1.1029280741827034,True,9946.956501455468,23028173.0
para,m1,4440,1.0792954102382855,1.0742857238885712,1.084095899938144,True,9400.350988586664,21760674.0
para,m1,5440,1.0566030550186123,1.0518095341391414,1.061460074389051,True,8733.687561524539,20215313.0
para,m1,6660,1.0320561448031058,1.0271983591948657,1.03697363362696,True,7920.46772498705,18329516.0
para,m1,8160,1.0097678895174715,1.0048113968476116,1.0151310842560342,True,6920.581246789399,16011166.0
para,m1,10000,0.9911706971762569,0.9861900753074545,0.9968145883779341,True,5694.082172826628,13167529.0
para,m2,10,1.137667571824459,1.133928016467807,1.1412984299770823,True,12353.500198172118,28607740.0
para,m2,20,1.2129653099295343,1.2079482705801647,1.217712543147332,True,12346.849339148614,28592213.0
para,m2,30,1.246610984235498,1.2409695915578505,1.2519377025233718,True,12340.210991638267,28576623.0
para,m2,40,1.2668190577289955,1.260639316055097,1.2726304974303524,True,12333.500900459481,28561373.0
para,m2,50,1.2815278949426536,1.2750490112658344,1.2877190743210143,True,12326.850042494783,28545846.0
para,m2,60,1.2931411909013042,1.286407794935337,1.299610243313548,True,12320.211695517082,28530256.0
para,m2,80,1.3110887699764044,1.3038845589025254,1.3180427960390884,True,12306.850748350922,28499479.0
para,m2,90,1.3183863310658446,1.3110174491657844,1.325534345712921,True,12300.212401909248,28483889.0
para,m2,100,1.3248763581122416,1.317368178295425,1.3322077793169258,True,12293.502312561048,28468639.0
para,m2,110,1.3307232289188249,1.3230580407427341,1.3382036251817193,True,12286.851456730608,28453112.0
para,m2,140,1.3452784277569805,1.3372567393952477,1.3531482433540436,True,12266.852167647485,28406745.0
para,m2,170,1.3565042110236116,1.3481905884122063,1.3647005616535315,True,12246.852881115326,28360378.0
para,m2,210,1.3677789161115883,1.3591757320958653,1.3763329495961194,True,12220.215252884616,28298421.0
para,m2,260,1.3775280541313382,1.3684884818221075,1.386384606512969,True,12186.855036963787,28221277.0
para,m2,320,1.3846285257595978,1.3751561905518004,1.3939039138014362,True,12146.856487207799,28128543.0
para,m2,390,1.3883077251597555,1.3784654400999117,1.3980054936920765,True,12100.21960710434,28020219.0
para,m2,470,1.388088366431019,1.377983437120666,1.3981902172133822,True,12046.860159197591,27896708.0
para,m2,580,1.3825787079605973,1.3722101024341966,1.3930122358569152,True,11973.513983388584,27726767.0
para,m2,710,1.3713559747784918,1.360643177908139,1.3821698378998972,True,11886.866176061292,27525772.0
para,m2,870,1.3539493294813356,1.343231322215535,1.3648858475653312,True,11780.231696930317,27278347.0
para,m2,1000,1.3386934204379624,1.327913470304163,1.3495667374698332,True,11693.524774039399,27077629.0
para,m2,1070,1.3304350293373197,1.319656911594794,1.3412033746093701,True,11646.875543954113,26969368.0
para,m2,1310,1.3033586207958137,1.2922904304060887,1.3141429294234637,True,11486.882030050618,26598432.0
para,m2,1610,1.274145979385873,1.2630945776483222,1.2848157321126787,True,11286.89042474116,26134762.0
para,m2,1970,1.2464303580479985,1.235597642137841,1.2569135018496598,True,11046.900945105024,25578358.0
para,m2,2410,1.2206674449275858,1.209831803648464,1.2311178002519456,True,10753.565587086194,24898380.0
para,m2,2960,1.1954828022376107,1.1847201507347858,1.2058283851428873,True,10386.932690859177,24048247.0
para,m2,3620,1.1697565617838188,1.1591365018220732,1.1800808282129516,True,9946.956501455468,23028173.0
para,m2,4440,1.1413274442660457,1.1310096510906762,1.151329124039949,True,9400.350988586664,21760674.0
para,m2,5440,1.110821975851068,1.100520929171121,1.1206919674755504,True,8733.687561524539,20215313.0
para,m2,6660,1.0789951791296832,1.0688482484202178,1.0887144879409136,True,7920.46772498705,18329516.0
para,m2,8160,1.0485284183783743,1.0392759556471962,1.057920257496735,True,6920.581246789399,16011166.0
para,m2,10000,1.021827829095054,1.0123368707779168,1.0319172494512856,True,5694.082172826628,13167529.0
