discipline,estimator,t_s,msd_m2,n_flights,sem_m2
paragliders,window,4.0,1587.742495811335,1326187394.0,
paragliders,window,5.0,2415.2648496381726,1361189556.0,
paragliders,window,6.0,3421.161803385422,1362128268.0,
paragliders,window,7.0,4552.236892419442,1362252824.0,
paragliders,window,8.0,5906.128696728288,1362599757.0,
paragliders,window,9.0,7140.310000060966,1362527499.0,
paragliders,window,10.0,8593.198460170739,1367584839.0,
paragliders,window,11.0,10287.292205187323,1367515378.0,
paragliders,window,12.0,11789.131970899038,1367431926.0,
paragliders,window,14.0,15606.33683514721,1367132874.0,
paragliders,window,16.0,19523.73931661728,1367043372.0,
paragliders,window,18.0,24203.86346815191,1366730989.0,
paragliders,window,20.0,29102.400877184104,1366640255.0,
paragliders,window,23.0,37745.24279089093,1366183233.0,
paragliders,window,25.0,43273.97249220165,1365930013.0,
paragliders,window,29.0,57248.22912931685,1365312615.0,
paragliders,window,32.0,68563.93754379712,1364936950.0,
paragliders,window,37.0,89449.39990171455,1364194845.0,
paragliders,window,41.0,108567.86658461268,1363583439.0,
paragliders,window,46.0,134768.83273375884,1362823865.0,
paragliders,window,52.0,168999.35440682928,1361902155.0,
paragliders,window,59.0,215099.1174666517,1360785131.0,
paragliders,window,67.0,271654.3237032336,1359578350.0,
paragliders,window,75.0,335756.36104518303,1358315309.0,
paragliders,window,85.0,422132.43918123783,1356792708.0,
paragliders,window,95.0,520832.2095670203,1355233473.0,
paragliders,window,107.0,648285.7754212673,1353418303.0,
paragliders,window,121.0,811683.340036652,1351289009.0,
paragliders,window,137.0,1020619.585905005,1348802288.0,
paragliders,window,154.0,1265421.1049440075,1346230353.0,
paragliders,window,174.0,1581971.7263029558,1343239675.0,
paragliders,window,196.0,1962892.838923895,1339976001.0,
paragliders,window,221.0,2438120.876979029,1336284054.0,
paragliders,window,249.0,3022561.410389422,1332154741.0,
paragliders,window,281.0,3751764.309965942,1327467264.0,
paragliders,window,316.0,4624897.117550064,1322317360.0,
paragliders,window,357.0,5739131.3696009675,1316373301.0,
paragliders,window,402.0,7076459.493341312,1309781902.0,
paragliders,window,453.0,8729930.37670434,1302444740.0,
paragliders,window,511.0,10778236.329453263,1294158888.0,
paragliders,window,576.0,13279441.57271607,1284948320.0,
paragliders,window,649.0,16338995.167147331,1274620767.0,
paragliders,window,732.0,20132592.34367328,1263032284.0,
paragliders,window,825.0,24764957.901023176,1250125345.0,
paragliders,window,931.0,30527365.149506293,1235466201.0,
paragliders,window,1049.0,37515387.894354254,1219374904.0,
paragliders,window,1183.0,46171115.63704145,1201121091.0,
paragliders,window,1334.0,56794479.152016506,1179927642.0,
paragliders,window,1504.0,69838250.67765372,1155615822.0,
paragliders,window,1695.0,85862040.50025457,1127730498.0,
paragliders,window,1911.0,105654553.00008348,1095338904.0,
paragliders,window,2155.0,130207922.26315011,1057783125.0,
paragliders,window,2429.0,160567043.97179526,1014348552.0,
paragliders,window,2739.0,198514959.97980508,964630593.0,
paragliders,window,3088.0,245914702.45080072,908113877.0,
paragliders,window,3481.0,305439920.81628734,844778000.0,
paragliders,window,3925.0,381214100.0349168,774314110.0,
paragliders,window,4425.0,476769768.2112299,698470655.0,
paragliders,window,4989.0,598738059.6067454,617267889.0,
paragliders,window,5624.0,754072486.7758722,534816092.0,
paragliders,window,6341.0,951621422.3767992,451666192.0,
paragliders,window,7149.0,1197765676.454736,372147852.0,
paragliders,window,8059.0,1511327892.2832031,297480453.0,
paragliders,window,9086.0,1904462835.4328916,228621276.0,
paragliders,window,10000.0,2296946541.367067,178897818.0,
paragliders,window,10244.0,2408345735.7136455,167076837.0,
paragliders,window,11549.0,3063612367.0338573,112497385.0,
paragliders,window,13021.0,3938497576.1157074,69479836.0,
paragliders,window,14680.0,5036894089.497875,37368416.0,
paragliders,window,16550.0,6673014696.42122,15362672.0,
paragliders,window,18659.0,8188075426.543972,3371823.0,
paragliders,window,21037.0,8015311223.470879,129649.0,
paragliders,window,23717.0,,0.0,
paragliders,window,26739.0,,0.0,
paragliders,window,30146.0,,0.0,
paragliders,window,33987.0,,0.0,
paragliders,window,38318.0,,0.0,
paragliders,window,43200.0,,0.0,
hang gliders,segment,1.0,276.26538849474866,2552.0,
hang gliders,segment,2.0,1069.8885453769926,3460.0,
hang gliders,segment,3.0,2715.6331144655096,4197.0,
hang gliders,segment,4.0,3856.0425014435136,4435.0,
hang gliders,segment,5.0,5943.149962630036,6390.0,
hang gliders,segment,6.0,8107.165326318562,6416.0,
hang gliders,segment,7.0,10083.29293204636,6445.0,
hang gliders,segment,8.0,16826.38744081709,6463.0,
hang gliders,segment,9.0,18302.4195967644,6477.0,
hang gliders,segment,10.0,20068.945971953795,7620.0,
hang gliders,segment,11.0,24120.760522167162,7647.0,
hang gliders,segment,12.0,25584.534252294383,7648.0,
hang gliders,segment,14.0,37109.4004975132,7648.0,
hang gliders,segment,16.0,48367.91522172183,7655.0,
hang gliders,segment,18.0,61707.9918579678,7656.0,
hang gliders,segment,20.0,69639.20158602779,7660.0,
hang gliders,segment,23.0,90972.16589366885,7660.0,
hang gliders,segment,25.0,96001.68565299592,7660.0,
hang gliders,segment,29.0,136977.14977550934,7660.0,
hang gliders,segment,32.0,154604.5657047061,7660.0,
hang gliders,segment,37.0,205416.64090300602,7660.0,
hang gliders,segment,41.0,247307.38895616762,7660.0,
hang gliders,segment,46.0,314948.0735471936,7659.0,
hang gliders,segment,52.0,377172.1137580754,7633.0,
hang gliders,segment,59.0,499485.156073443,7586.0,
hang gliders,segment,67.0,617954.4831747402,7555.0,
hang gliders,segment,75.0,775984.0290497757,7509.0,
hang gliders,segment,85.0,935218.9124593796,7472.0,
hang gliders,segment,95.0,1190704.8775090934,7423.0,
hang gliders,segment,107.0,1452932.6689413146,7389.0,
hang gliders,segment,121.0,1789815.615030681,7352.0,
hang gliders,segment,137.0,2251935.949941914,7305.0,
hang gliders,segment,154.0,2761469.034487084,7256.0,
hang gliders,segment,174.0,3443517.4355257396,7208.0,
hang gliders,segment,196.0,4261879.882121491,7151.0,
hang gliders,segment,221.0,5227885.789879422,7096.0,
hang gliders,segment,249.0,6446632.619640055,7051.0,
hang gliders,segment,281.0,7880570.022912431,7008.0,
hang gliders,segment,316.0,9666169.13031734,6958.0,
hang gliders,segment,357.0,11859346.735073457,6879.0,
hang gliders,segment,402.0,14433156.695704095,6843.0,
hang gliders,segment,453.0,17662282.35197187,6794.0,
hang gliders,segment,511.0,21557481.930123266,6741.0,
hang gliders,segment,576.0,26329856.181086805,6683.0,
hang gliders,segment,649.0,31974902.178441413,6627.0,
hang gliders,segment,732.0,38897565.89522744,6576.0,
hang gliders,segment,825.0,47287637.33741224,6516.0,
hang gliders,segment,931.0,57595210.186371826,6454.0,
hang gliders,segment,1049.0,69866525.4427742,6405.0,
hang gliders,segment,1183.0,85008130.566469,6350.0,
hang gliders,segment,1334.0,103528424.65890968,6286.0,
hang gliders,segment,1504.0,125672959.59306628,6216.0,
hang gliders,segment,1695.0,152408914.71913278,6123.0,
hang gliders,segment,1911.0,185565407.4794793,5997.0,
hang gliders,segment,2155.0,227006619.46254283,5835.0,
hang gliders,segment,2429.0,275064836.056595,5652.0,
hang gliders,segment,2739.0,334834235.78407884,5424.0,
hang gliders,segment,3088.0,409861520.8031907,5136.0,
hang gliders,segment,3481.0,504405123.0173473,4763.0,
hang gliders,segment,3925.0,624625606.8158023,4334.0,
hang gliders,segment,4425.0,775937603.8292785,3874.0,
hang gliders,segment,4989.0,970081752.6609659,3353.0,
hang gliders,segment,5624.0,1226788124.5595407,2809.0,
hang gliders,segment,6341.0,1545738452.7327738,2264.0,
hang gliders,segment,7149.0,1970815156.4236662,1762.0,
hang gliders,segment,8059.0,2587541434.5266614,1219.0,
hang gliders,segment,9086.0,3479020834.119403,804.0,
hang gliders,segment,10000.0,4288448629.720354,565.0,
hang gliders,segment,10244.0,4601860395.803536,509.0,
hang gliders,segment,11549.0,5796813727.351352,296.0,
hang gliders,segment,13021.0,7500840957.023255,129.0,
hang gliders,segment,14680.0,9490786688.0,34.0,
hang gliders,segment,16550.0,11481142710.857143,7.0,
hang gliders,segment,18659.0,15398623744.0,6.0,
hang gliders,segment,21037.0,18152209536.0,4.0,
hang gliders,segment,23717.0,34695195392.0,2.0,
hang gliders,segment,26739.0,81150918656.0,1.0,
hang gliders,segment,30146.0,,0.0,
hang gliders,segment,33987.0,,0.0,
hang gliders,segment,38318.0,,0.0,
hang gliders,segment,43200.0,,0.0,
hang gliders,flight,1.0,266.4701242809326,1709.0,
hang gliders,flight,2.0,1033.8333712309898,2544.0,
hang gliders,flight,3.0,2707.8046593203076,3152.0,
hang gliders,flight,4.0,3713.610304197329,3336.0,
hang gliders,flight,5.0,5720.935867794758,5014.0,
hang gliders,flight,6.0,7801.0998249663635,5040.0,
hang gliders,flight,7.0,9688.37118935933,5062.0,
hang gliders,flight,8.0,16554.220325731025,5080.0,
hang gliders,flight,9.0,17795.627343602133,5086.0,
hang gliders,flight,10.0,19502.012168599293,6060.0,
hang gliders,flight,11.0,23373.96013640281,6080.0,
hang gliders,flight,12.0,24587.82004671213,6081.0,
hang gliders,flight,14.0,35881.60091803897,6081.0,
hang gliders,flight,16.0,47209.306084791606,6088.0,
hang gliders,flight,18.0,60321.730649364064,6089.0,
hang gliders,flight,20.0,67602.8176970864,6092.0,
hang gliders,flight,23.0,88439.18926153661,6092.0,
hang gliders,flight,25.0,92492.28018073399,6092.0,
hang gliders,flight,29.0,133215.71362894023,6092.0,
hang gliders,flight,32.0,149361.74454474432,6092.0,
hang gliders,flight,37.0,199297.16328673114,6092.0,
hang gliders,flight,41.0,239388.6773629378,6092.0,
hang gliders,flight,46.0,306228.7126239155,6092.0,
hang gliders,flight,52.0,365036.10988870735,6092.0,
hang gliders,flight,59.0,485531.4628792256,6092.0,
hang gliders,flight,67.0,599761.9128381549,6094.0,
hang gliders,flight,75.0,753877.3497216927,6094.0,
hang gliders,flight,85.0,904749.9137659429,6094.0,
hang gliders,flight,95.0,1156035.444074998,6094.0,
hang gliders,flight,107.0,1408293.833867822,6093.0,
hang gliders,flight,121.0,1731577.964447334,6093.0,
hang gliders,flight,137.0,2181613.268548166,6093.0,
hang gliders,flight,154.0,2672578.3013205878,6092.0,
hang gliders,flight,174.0,3328722.989463563,6092.0,
