group,lag_s,flights,point,low,high
open_2,40,7412,106430.1127661506,105637.33841592427,107202.38875437662
open_2,50,7412,161557.09077785234,160322.96061779486,162766.4026213385
open_2,60,7412,227288.61418697794,225500.3359877814,229039.68484590107
open_2,80,7412,389308.2840454724,386119.0006923567,392423.76209682913
open_2,90,7412,485047.8754616161,481039.9489193649,488984.6495405498
open_2,100,7412,590275.3428923811,585323.5313287404,595101.6395690553
open_2,110,7412,704769.0884924404,698775.1245565416,710614.3337690457
open_2,140,7412,1101811.4176344674,1092095.1058514037,1111222.5270500912
open_2,170,7412,1575434.4459198683,1561090.2255586653,1589275.5319034352
open_2,210,7412,2318932.6966801295,2297054.1977399723,2339922.7504379987
open_2,260,7412,3417239.8194452533,3384082.880680454,3449270.2309378358
open_2,320,7412,4967131.332890663,4917589.05148471,5015498.0109566925
open_2,390,7412,7075486.358485416,7003129.504010786,7146859.796375812
open_2,470,7412,9858958.395607293,9755309.508670703,9962926.908509368
open_2,580,7412,14303256.726478877,14148480.785836123,14460855.987175606
open_2,710,7412,20430809.014934253,20204029.377276525,20664332.653256454
open_2,870,7412,29216470.5460887,28877508.179183226,29569772.2653031
open_2,1000,7412,37328062.35091242,36883523.187308796,37796602.33196651
open_2,1070,7412,42047251.6303027,41536124.34205383,42580319.729045495
open_2,1310,7412,60035346.797876075,59264638.28474302,60839960.855272
open_2,1610,7412,86294850.92532533,85133681.70725703,87508016.53663152
open_2,1970,7412,123034834.61537747,121301899.19173409,124812162.04779561
open_2,2410,7412,175141174.3742168,172511368.76313263,177828417.24355108
open_2,2960,7412,250497166.8307823,246473387.90469483,254607139.8662764
open_2,3620,7412,354469182.77060694,348385825.5351274,360750106.29670423
open_2,4440,7412,501758678.55957896,492618303.2285252,511465831.78528404
open_2,5440,7412,704578587.2311589,690730260.8440362,719204975.2249172
open_2,6660,7412,979596778.7044655,958351506.0999213,1001636151.3949573
open_2,8160,7412,1346130652.7156377,1313895507.4650946,1379918256.521585
open_2,10000,7412,1813764492.6048734,1765786443.4814816,1865281992.8583221
closed_2,10,14649,8282.095675803093,8253.916724334427,8312.272246706767
closed_2,20,14649,28354.377943589654,28246.290709538232,28476.209323296363
closed_2,30,14649,59982.20169878061,59727.963057482906,60262.752546244934
closed_2,40,14649,102663.36249765867,102193.77443190798,103176.86069966745
closed_2,50,14649,155867.14045469422,155117.74672530996,156674.9172702179
closed_2,60,14649,219234.90930402235,218155.5031818737,220409.28505165834
closed_2,80,14649,375145.9442189754,373224.5081398494,377250.5628028554
closed_2,90,14649,467107.12594769883,464646.3736508939,469757.2146435079
closed_2,100,14649,568052.588996632,564998.9418040242,571325.2813123924
closed_2,110,14649,677742.0619071486,674060.2889003466,681694.3611951771
closed_2,140,14649,1057120.0326846235,1051205.513412432,1063560.4482974098
closed_2,170,14649,1507949.8370485527,1499211.2549117925,1517487.7585735072
closed_2,210,14649,2212636.3806541483,2199404.120240078,2227078.9389514187
closed_2,260,14649,3248216.3664499465,3228016.37013307,3270113.5582021098
closed_2,320,14649,4700690.050047121,4671108.445731993,4733308.443210633
closed_2,390,14649,6662580.770461367,6618093.415077181,6710149.82220431
closed_2,470,14649,9231548.706754414,9168324.565596221,9300176.378041698
closed_2,580,14649,13290463.274811685,13195718.536881752,13393307.916829726
closed_2,710,14649,18811916.8343252,18671111.598108884,18964611.114521984
closed_2,870,14649,26592486.88874238,26385528.513709962,26822517.66090907
closed_2,1000,14649,33647712.13858816,33372833.742064636,33950788.78843197
closed_2,1070,14649,37700416.32327015,37386335.423473366,38047530.209250666
closed_2,1310,14649,52841069.862772055,52376886.92679863,53354137.425424084
closed_2,1610,14649,74214422.91022119,73534244.92572922,74982662.89648592
closed_2,1970,14649,102947204.04060695,101941779.66479897,104076764.05789241
closed_2,2410,14649,141750665.4131553,140318902.4964218,143418063.8401969
closed_2,2960,14649,194437258.4023957,192298601.35524422,196916356.07144248
closed_2,3620,14649,261345350.75461343,258196441.15110856,264975240.64226106
closed_2,4440,14649,345297757.6926723,340808102.08594894,350544285.6847124
closed_2,5440,14649,440181259.58371437,433837471.5526533,447665408.7408911
closed_2,6660,14649,531555857.84039414,522698148.5027698,541995482.5934354
closed_2,8160,14649,593870921.2062383,582030831.0646679,607974548.4467152
closed_2,10000,14649,595604523.1696935,580348431.1154137,613716629.5123664
alt3,10,19424,8928.20036501562,8899.127873666586,8957.455428533038
alt3,20,19424,30767.2558751761,30655.082201837184,30884.74053015802
alt3,30,19424,65347.77016817048,65086.6366185393,65622.19161400752
alt3,40,19424,112168.30926255636,111699.90347741051,112660.52671012102
alt3,50,19424,170686.55804636073,169952.09881949573,171456.53759442808
alt3,60,19424,240529.66202176482,239459.23974335563,241632.936457668
alt3,80,19424,412816.1226272918,410911.1883578009,414768.60576549044
alt3,90,19424,514643.5926470628,512231.04090493487,517102.72634631104
alt3,100,19424,626556.3395748772,623578.4056038045,629575.9938068669
alt3,110,19424,748301.0923248967,744703.3653881288,751932.9595137825
alt3,140,19424,1170222.6089045615,1164463.7179762572,1176005.0798925941
alt3,170,19424,1672873.2370018354,1664483.0108968904,1681253.1178668276
alt3,210,19424,2460476.943799216,2447662.0497029084,2473157.557697137
alt3,260,19424,3620736.2617489626,3601396.855330951,3640122.144830587
alt3,320,19424,5252050.162550912,5223152.344379467,5281225.924140265
alt3,390,19424,7461259.614444202,7418748.152502245,7504086.204424047
alt3,470,19424,10362897.989862029,10302153.070386032,10425924.949953796
alt3,580,19424,14967424.410408583,14875940.35538935,15062865.267775761
alt3,710,19424,21271527.231526535,21137451.937555548,21412856.85265378
alt3,870,19424,30237959.457999077,30039286.7752274,30448974.623539697
alt3,1000,19424,38455878.00299077,38193304.3110888,38733731.925379135
alt3,1070,19424,43213865.07767713,42912927.97734652,43530208.469264135
alt3,1310,19424,61219273.182323925,60766023.06840412,61688851.479385585
alt3,1610,19424,87202258.74998882,86511904.81904022,87908506.86974685
alt3,1970,19424,123061424.32827166,122051565.9900146,124100746.57211898
alt3,2410,19424,173072847.9119711,171555297.1673975,174602351.60977212
alt3,2960,19424,243730904.79178157,241418733.9503401,245988895.60445347
alt3,3620,19424,337957904.8515573,334539314.361902,341226442.0068201
alt3,4440,19424,464911024.51423514,459856607.07692885,469701635.60620874
alt3,5440,19424,627242940.6783451,619720060.3929998,634411217.232539
alt3,6660,19424,824105539.6130444,813297601.1138258,834576681.2347718
alt3,8160,19424,1042796066.1897968,1027022726.7345409,1058257285.9664448
alt3,10000,19424,1248995122.0062962,1226299705.0793493,1271627633.4085882
open_3,10,6802,8764.698317836292,8720.587278601468,8807.032071501688
open_3,20,6802,30068.603349470795,29895.369101821,30240.54594340777
open_3,30,6802,63627.60678571442,63230.14645893671,64020.391771543604
open_3,40,6802,109021.35968898886,108299.4555597521,109730.9737195201
open_3,50,6802,165701.62262376823,164571.77629726706,166821.01027736758
open_3,60,6802,233321.4035522547,231707.20316906573,234937.40098681574
open_3,80,6802,400070.97868734907,397166.85278816323,402954.2084527791
open_3,90,6802,498619.70451075194,494955.76049480133,502264.3105615744
open_3,100,6802,606932.3542807674,602409.9848729274,611423.3384236563
open_3,110,6802,724773.1992591204,719317.9822714939,730193.204503315
open_3,140,6802,1133299.1768835166,1124496.9526640119,1142043.9964881795
open_3,170,6802,1620323.5799445938,1607262.0364635,1633143.4416366818
open_3,210,6802,2384183.8128202283,2364464.4196247957,2403590.7504323227
open_3,260,6802,3511027.660355989,3481461.8874231703,3540671.4512584363
open_3,320,6802,5098296.843281904,5053714.486636037,5143731.749498802
open_3,390,6802,7252909.418552715,7187668.221415533,7319637.922585814
open_3,470,6802,10090776.419313617,9996715.071866835,10187542.76714171
open_3,580,6802,14610493.85496053,14467145.006841047,14756924.16142637
open_3,710,6802,20826969.970169596,20611316.145328213,21044451.367839392
open_3,870,6802,29716062.16951957,29396207.26905898,30047116.185385868
open_3,1000,6802,37903475.33348836,37482764.38417694,38341855.79173325
open_3,1070,6802,42659576.80133632,42178338.14597044,43157912.94555498
open_3,1310,6802,60751554.24507628,60030823.71230456,61492251.97246909
open_3,1610,6802,87076519.11239825,85992577.81180458,88191563.10875057
open_3,1970,6802,123766112.65262486,122129860.27849874,125420888.58697201
open_3,2410,6802,175588565.6372084,173158082.04217878,178031323.869426
open_3,2960,6802,250133174.24853286,246525056.03498644,253687691.09770066
open_3,3620,6802,352182772.90096253,346825513.4431515,357394440.90389836
open_3,4440,6802,495281214.2855285,487220798.4757258,502915786.31209207
open_3,5440,6802,690096918.6611639,678073116.2702668,701672197.1848953
open_3,6660,6802,950929299.1116244,932481785.4901718,968433418.2664928
open_3,8160,6802,1291575158.873017,1263400705.4514008,1317105106.7253444
open_3,10000,6802,1710332477.2167633,1668189378.7923756,1749601383.5245101
closed_3,10,12581,9017.115254994902,8980.295848052285,9053.656193385601
closed_3,20,12581,31149.95810467253,31008.73808462401,31298.477921512433
