discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Hills,fixed long segments,29.0,91658.75443062987,514,434,87911.39238482126,95575.8069443733
paragliders,Hills,fixed long segments,32.0,107687.16197258026,514,434,103308.8239853997,112204.64998709137
paragliders,Hills,fixed long segments,37.0,142533.66762676314,514,434,136684.1338595391,148602.815118944
paragliders,Hills,fixed long segments,41.0,174511.85820464493,514,434,167293.7019472269,182075.9986719719
paragliders,Hills,fixed long segments,46.0,219661.30109283802,514,434,210582.81920481037,229119.40633416394
paragliders,Hills,fixed long segments,52.0,274002.83164366486,514,434,262609.12460893206,285870.5470656432
paragliders,Hills,fixed long segments,59.0,357258.36654912453,514,434,342283.54053625674,372875.14844070026
paragliders,Hills,fixed long segments,67.0,449911.81348796206,514,434,431009.59261751245,469875.810821511
paragliders,Hills,fixed long segments,75.0,563978.9848005837,514,434,539894.1041695467,588985.1597197131
paragliders,Hills,fixed long segments,85.0,707748.2776021401,514,434,676821.7485462027,739801.883529728
paragliders,Hills,fixed long segments,95.0,887279.6129012646,514,434,848579.0035637245,927501.0955890728
paragliders,Hills,fixed long segments,107.0,1106591.2110894942,514,434,1057861.2552984012,1157475.1860993323
paragliders,Hills,fixed long segments,121.0,1393306.5266597762,514,434,1331485.9530910188,1458180.0037934855
paragliders,Hills,fixed long segments,137.0,1769399.2005107005,514,434,1689551.2269378533,1852839.6190084685
paragliders,Hills,fixed long segments,154.0,2213540.097580253,514,434,2112952.8936217492,2318723.8291861285
paragliders,Hills,fixed long segments,174.0,2794220.1422057394,514,434,2666978.9281346663,2928037.27975999
paragliders,Hills,fixed long segments,196.0,3498865.7543774317,514,434,3336426.097521128,3668136.316325137
paragliders,Hills,fixed long segments,221.0,4383838.1524805445,514,434,4177818.2969360314,4599396.994414656
paragliders,Hills,fixed long segments,249.0,5502562.196133268,514,434,5240300.411278889,5776256.9825956095
paragliders,Hills,fixed long segments,281.0,6893734.352504863,514,434,6562537.365385473,7242669.911582324
paragliders,Hills,fixed long segments,316.0,8603361.150656614,514,434,8182745.340854625,9045409.466157865
paragliders,Hills,fixed long segments,357.0,10805513.642509727,514,434,10269389.573260989,11370914.881813046
paragliders,Hills,fixed long segments,402.0,13490172.596060311,514,434,12813122.377948292,14202257.10209213
paragliders,Hills,fixed long segments,453.0,16909915.32320039,514,434,16045015.490447763,17813460.461797412
paragliders,Hills,fixed long segments,511.0,21173540.314688716,514,434,20073254.034247745,22322280.739772
paragliders,Hills,fixed long segments,576.0,26523385.214494165,514,434,25121126.277262844,27986534.43642197
paragliders,Hills,fixed long segments,649.0,33195628.513618678,514,434,31409760.954259694,35050331.08685772
paragliders,Hills,fixed long segments,732.0,41602662.60651751,514,434,39333028.294266745,43966336.30930074
paragliders,Hills,fixed long segments,825.0,52161510.53550584,514,434,49276750.392347075,55174896.856768586
paragliders,Hills,fixed long segments,931.0,65592106.43871595,514,434,61896275.51453587,69445399.39282113
paragliders,Hills,fixed long segments,1049.0,82336588.75972763,514,434,77626871.91010837,87221102.84097487
paragliders,Hills,fixed long segments,1183.0,103554019.51264592,514,434,97544104.04131395,109771406.77419774
paragliders,Hills,fixed long segments,1334.0,130278135.25486381,514,434,122625266.82694517,138220376.1228447
paragliders,Hills,fixed long segments,1504.0,163953645.3093385,514,434,154181455.00443098,174085141.38734967
paragliders,Hills,fixed long segments,1695.0,206378642.15953308,514,434,193989728.9982143,219258301.06446698
paragliders,Hills,fixed long segments,1911.0,259967465.55836576,514,434,244241833.36041796,276403084.417577
paragliders,Hills,fixed long segments,2155.0,327983939.8249027,514,434,307916546.25518006,348939136.493332
paragliders,Hills,fixed long segments,2429.0,413494204.01361865,514,434,387920197.9652244,440207836.64973426
paragliders,Hills,fixed long segments,2739.0,521974961.65564203,514,434,489335330.08994544,556107082.9218879
paragliders,Hills,fixed long segments,3088.0,658823244.8307393,514,434,617125549.8084172,702407163.1853088
paragliders,Hills,fixed long segments,3481.0,831130539.6011673,514,434,777816560.6071302,886854417.0287827
paragliders,Hills,fixed long segments,3925.0,1049202410.881323,514,434,980615005.6210184,1120384603.6329815
paragliders,Hills,fixed long segments,4425.0,1323723711.0019455,514,434,1235721951.6777675,1414690333.7601624
paragliders,Hills,fixed long segments,4989.0,1669654794.6459143,514,434,1557162881.8411605,1785685895.9167519
paragliders,Hills,fixed long segments,5624.0,2104106074.8249028,514,434,1960307601.806115,2252123227.3599515
paragliders,Hills,fixed long segments,6341.0,2651388532.1750975,514,434,2467712767.7759356,2841895572.7633367
paragliders,Hills,fixed long segments,7149.0,3339373742.17607,514,434,3103939135.130648,3583005043.1092987
paragliders,Hills,fixed long segments,8059.0,4203253268.77821,514,434,3900252928.290482,4514337268.72517
paragliders,Hills,fixed long segments,9086.0,5287464075.982491,514,434,4896686699.753949,5685274166.714977
paragliders,Hills,fixed long segments,10000.0,6349699429.054475,514,434,5869936625.586704,6834833877.026759
paragliders,Low mountains,available segments,10.0,7683.970997112445,78540,41259,7665.328145458962,7701.571299736166
paragliders,Low mountains,available segments,11.0,9272.616144117384,78540,41259,9249.987284129114,9295.078349268639
paragliders,Low mountains,available segments,12.0,10357.331958533216,78540,41259,10329.377070005867,10384.781494104162
paragliders,Low mountains,available segments,14.0,14236.724491595523,78540,41259,14201.57684471657,14273.201817691892
paragliders,Low mountains,available segments,16.0,17624.264518544805,78540,41259,17578.65956065028,17670.24567099495
paragliders,Low mountains,available segments,18.0,22288.11103182729,78540,41259,22231.24998536538,22345.82574842281
paragliders,Low mountains,available segments,20.0,26276.78797477632,78540,41259,26207.131628014373,26347.517412682195
paragliders,Low mountains,available segments,23.0,34423.29775340732,78540,41259,34329.37977521429,34520.56380789968
paragliders,Low mountains,available segments,25.0,38266.51823626065,78540,41259,38154.90021970361,38374.707090410244
paragliders,Low mountains,available segments,29.0,51491.17060467716,78540,41259,51341.51258813512,51644.66163122605
paragliders,Low mountains,available segments,32.0,60485.0039683011,78540,41259,60302.02105598968,60668.53716368535
paragliders,Low mountains,available segments,37.0,78741.90770520858,78540,41259,78496.97602462178,78994.40378602948
paragliders,Low mountains,available segments,41.0,95685.63826018138,78540,41259,95379.0235458558,95992.1342764813
paragliders,Low mountains,available segments,46.0,119095.58840915801,78540,41259,118708.55235238654,119488.03312689031
paragliders,Low mountains,available segments,52.0,147496.005316306,78535,41255,147000.61098363664,147996.82060131754
paragliders,Low mountains,available segments,59.0,189959.44972081837,78531,41254,189312.45001250342,190611.8155939467
paragliders,Low mountains,available segments,67.0,237178.16573055641,78526,41253,236334.74831571252,238019.19136190455
paragliders,Low mountains,available segments,75.0,294154.4912220441,78523,41253,293080.156042463,295238.1424115057
paragliders,Low mountains,available segments,85.0,365752.29379498615,78515,41250,364402.07347520074,367138.9417582929
paragliders,Low mountains,available segments,95.0,453774.2473549519,78506,41244,452025.6928837748,455499.98500316165
paragliders,Low mountains,available segments,107.0,560673.3039249475,78497,41240,558489.0703580156,562851.2459396122
paragliders,Low mountains,available segments,121.0,697942.5784079776,78491,41236,695157.1644899519,700734.8823420687
paragliders,Low mountains,available segments,137.0,876134.7384829746,78483,41235,872533.5991651686,879680.114901561
paragliders,Low mountains,available segments,154.0,1083656.4943556485,78472,41233,1079159.5015111829,1088154.6123044784
paragliders,Low mountains,available segments,174.0,1351445.7787561573,78458,41226,1345679.5488029164,1357213.3224196488
paragliders,Low mountains,available segments,196.0,1670393.8419450016,78452,41223,1663065.7692042242,1677700.2521342195
paragliders,Low mountains,available segments,221.0,2066041.4633210998,78436,41216,2056741.4307002858,2075266.7329225352
paragliders,Low mountains,available segments,249.0,2554923.9498241725,78423,41210,2543101.6489619515,2566732.5709457733
paragliders,Low mountains,available segments,281.0,3154279.5363533855,78406,41200,3139192.5988908564,3169362.0774610243
paragliders,Low mountains,available segments,316.0,3874277.664063879,78393,41191,3855408.031756908,3893410.8145060604
paragliders,Low mountains,available segments,357.0,4782006.403015865,78371,41180,4757885.283709382,4806358.020142354
